saison,date,lieu,adversaire,buts_barca,buts_adversaire,resultat,tirs_barca,tirs_adversaire,tirs_cadres_barca,corners_barca,jaunes_barca,rouges_barca,arbitre
9596,1995-10-04,domicile,Oviedo,4,1,V,,,,,,,
9596,1995-10-07,exterieur,Betis,5,1,V,,,,,,,
9596,1995-10-14,domicile,Ath Bilbao,4,1,V,,,,,,,
9596,1995-10-22,domicile,Valencia,1,0,V,,,,,,,
9596,1995-10-28,exterieur,Compostela,1,2,D,,,,,,,
9596,1995-11-05,domicile,Salamanca,4,1,V,,,,,,,
9596,1995-11-12,exterieur,Tenerife,1,1,N,,,,,,,
9596,1995-11-18,domicile,Albacete,3,0,V,,,,,,,
9596,1995-11-25,exterieur,Sociedad,1,1,N,,,,,,,
9596,1995-12-02,domicile,Santander,1,1,N,,,,,,,
9596,1995-12-09,exterieur,Ath Madrid,1,3,D,,,,,,,
9596,1995-12-16,domicile,Sp Gijon,1,0,V,,,,,,,
9596,1995-12-20,exterieur,Sevilla,0,1,D,,,,,,,
9596,1996-01-04,domicile,Espanol,2,1,V,,,,,,,
9596,1996-01-07,exterieur,Celta,0,1,D,,,,,,,
9596,1996-01-14,domicile,La Coruna,1,1,N,,,,,,,
9596,1996-01-21,domicile,Valladolid,1,0,V,,,,,,,
9596,1996-01-25,exterieur,Merida,0,0,N,,,,,,,
9596,1996-01-28,domicile,Zaragoza,3,1,V,,,,,,,
9596,1996-02-04,exterieur,Vallecano,1,1,N,,,,,,,
9596,1996-02-10,domicile,Real Madrid,3,0,V,,,,,,,
9596,1996-02-18,exterieur,Oviedo,2,1,V,,,,,,,
9596,1996-02-25,domicile,Betis,1,0,V,,,,,,,
9596,1996-03-02,exterieur,Ath Bilbao,0,0,N,,,,,,,
9596,1996-03-09,exterieur,Valencia,1,4,D,,,,,,,
9596,1996-03-16,domicile,Compostela,1,0,V,,,,,,,
9596,1996-03-24,exterieur,Salamanca,3,1,V,,,,,,,
9596,1996-03-27,domicile,Tenerife,2,2,N,,,,,,,
9596,1996-03-31,exterieur,Albacete,1,0,V,,,,,,,
9596,1996-04-06,domicile,Sociedad,1,0,V,,,,,,,
9596,1996-04-13,exterieur,Santander,1,1,N,,,,,,,
9596,1996-04-20,domicile,Ath Madrid,1,3,D,,,,,,,
9596,1996-04-28,exterieur,Sp Gijon,3,0,V,,,,,,,
9596,1996-05-05,domicile,Sevilla,1,1,N,,,,,,,
9596,1996-05-15,exterieur,Espanol,1,1,N,,,,,,,
9596,1996-05-19,domicile,Celta,3,2,V,,,,,,,
9596,1996-05-26,exterieur,La Coruna,2,2,N,,,,,,,
9697,1996-09-01,exterieur,Oviedo,4,2,V,,,,,,,
9697,1996-09-07,domicile,Espanol,2,1,V,,,,,,,
9697,1996-09-15,exterieur,Santander,1,1,N,,,,,,,
9697,1996-09-22,domicile,Sociedad,3,2,V,,,,,,,
9697,1996-09-29,exterieur,Zaragoza,5,3,V,,,,,,,
9697,1996-10-02,domicile,Tenerife,1,1,N,,,,,,,
9697,1996-10-12,exterieur,Compostela,5,1,V,,,,,,,
9697,1996-10-20,domicile,Logrones,8,0,V,,,,,,,
9697,1996-10-23,exterieur,Sevilla,1,0,V,,,,,,,
9697,1996-10-26,domicile,Valencia,3,2,V,,,,,,,
9697,1996-11-04,exterieur,Sp Gijon,0,0,N,,,,,,,
9697,1996-11-09,domicile,Ath Madrid,3,3,N,,,,,,,
9697,1996-11-18,domicile,Valladolid,6,1,V,,,,,,,
9697,1996-11-23,exterieur,Ath Bilbao,1,2,D,,,,,,,
9697,1996-12-02,domicile,Extremadura,3,0,V,,,,,,,
9697,1996-12-07,exterieur,Real Madrid,0,2,D,,,,,,,
9697,1996-12-22,domicile,Celta,1,0,V,,,,,,,
9697,1997-01-04,exterieur,La Coruna,1,0,V,,,,,,,
9697,1997-01-13,domicile,Hercules,2,3,D,,,,,,,
9697,1997-01-19,exterieur,Betis,4,2,V,,,,,,,
9697,1997-01-26,domicile,Vallecano,6,0,V,,,,,,,
9697,1997-02-02,domicile,Oviedo,2,2,N,,,,,,,
9697,1997-02-09,exterieur,Espanol,0,2,D,,,,,,,
9697,1997-02-16,domicile,Santander,1,0,V,,,,,,,
9697,1997-02-20,exterieur,Sociedad,0,2,D,,,,,,,
9697,1997-02-23,domicile,Zaragoza,4,1,V,,,,,,,
9697,1997-03-01,exterieur,Tenerife,0,4,D,,,,,,,
9697,1997-03-09,domicile,Compostela,3,0,V,,,,,,,
9697,1997-03-16,exterieur,Logrones,1,0,V,,,,,,,
9697,1997-03-23,domicile,Sevilla,4,0,V,,,,,,,
9697,1997-03-30,exterieur,Valencia,1,1,N,,,,,,,
9697,1997-04-06,domicile,Sp Gijon,4,0,V,,,,,,,
9697,1997-04-13,exterieur,Ath Madrid,5,2,V,,,,,,,
9697,1997-04-16,exterieur,Valladolid,1,3,D,,,,,,,
9697,1997-04-20,domicile,Ath Bilbao,2,0,V,,,,,,,
9697,1997-05-05,exterieur,Extremadura,3,1,V,,,,,,,
9697,1997-05-10,domicile,Real Madrid,1,0,V,,,,,,,
9697,1997-05-19,exterieur,Celta,3,1,V,,,,,,,
9697,1997-05-24,domicile,La Coruna,1,0,V,,,,,,,
9697,1997-06-01,exterieur,Hercules,1,2,D,,,,,,,
9697,1997-06-15,domicile,Betis,3,0,V,,,,,,,
9697,1997-06-22,exterieur,Vallecano,2,1,V,,,,,,,
9798,1997-08-31,domicile,Sociedad,3,0,V,,,,,,,
9798,1997-09-08,exterieur,Valencia,3,0,V,,,,,,,
9798,1997-09-13,domicile,La Coruna,2,1,V,,,,,,,
9798,1997-09-28,exterieur,Sp Gijon,4,1,V,,,,,,,
9798,1997-10-05,domicile,Tenerife,3,2,V,,,,,,,
9798,1997-10-14,exterieur,Mallorca,1,0,V,,,,,,,
9798,1997-10-18,exterieur,Compostela,2,2,N,,,,,,,
9798,1997-10-26,domicile,Santander,2,0,V,,,,,,,
9798,1997-11-01,exterieur,Real Madrid,3,2,V,,,,,,,
9798,1997-11-09,domicile,Valladolid,1,2,D,,,,,,,
9798,1997-11-13,exterieur,Ath Bilbao,0,3,D,,,,,,,
9798,1997-11-16,domicile,Celta,3,2,V,,,,,,,
9798,1997-11-22,exterieur,Oviedo,0,1,D,,,,,,,
9798,1997-12-01,domicile,Merida,3,1,V,,,,,,,
9798,1997-12-06,exterieur,Zaragoza,2,1,V,,,,,,,
9798,1997-12-13,domicile,Espanol,3,1,V,,,,,,,
9798,1997-12-20,domicile,Ath Madrid,3,1,V,,,,,,,
9798,1998-01-05,exterieur,Salamanca,3,4,D,,,,,,,
9798,1998-01-11,exterieur,Sociedad,2,2,N,,,,,,,
9798,1998-01-19,domicile,Valencia,3,4,D,,,,,,,
9798,1998-01-25,exterieur,La Coruna,1,3,D,,,,,,,
9798,1998-02-01,domicile,Sp Gijon,2,1,V,,,,,,,
9798,1998-02-08,exterieur,Tenerife,1,1,N,,,,,,,
9798,1998-02-15,domicile,Mallorca,0,0,N,,,,,,,
9798,1998-02-22,domicile,Compostela,2,0,V,,,,,,,
9798,1998-03-02,exterieur,Santander,4,2,V,,,,,,,
9798,1998-03-07,domicile,Real Madrid,3,0,V,,,,,,,
9798,1998-03-15,exterieur,Valladolid,2,1,V,,,,,,,
9798,1998-03-22,domicile,Ath Bilbao,4,0,V,,,,,,,
9798,1998-03-29,exterieur,Celta,1,3,D,,,,,,,
9798,1998-04-04,domicile,Oviedo,2,1,V,,,,,,,
9798,1998-04-07,exterieur,Betis,2,0,V,,,,,,,
9798,1998-04-11,exterieur,Merida,2,1,V,,,,,,,
9798,1998-04-19,domicile,Zaragoza,1,0,V,,,,,,,
9798,1998-04-25,exterieur,Espanol,1,1,N,,,,,,,
9798,1998-05-03,domicile,Betis,1,3,D,,,,,,,
9798,1998-05-10,exterieur,Ath Madrid,2,5,D,,,,,,,
9798,1998-05-15,domicile,Salamanca,1,4,D,,,,,,,
