Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
1995-08-11,Istanbulspor,Eskisehirspor,1,3,A,,,,,,,,,,,,,,,,
1995-08-12,Fenerbahce,Karsiyaka,4,0,H,,,,,,,,,,,,,,,,
1995-08-12,Genclerbirligi,Kocaelispor,1,1,D,,,,,,,,,,,,,,,,
1995-08-13,Altay,Denizlispor,1,2,A,,,,,,,,,,,,,,,,
1995-08-13,Antalyaspor,Bursaspor,4,2,H,,,,,,,,,,,,,,,,
1995-08-13,Kayseri,Besiktas,1,1,D,,,,,,,,,,,,,,,,
1995-08-13,Samsunspor,Gaziantepspor,1,0,H,,,,,,,,,,,,,,,,
1995-08-13,Trabzonspor,Ankaragucu,3,1,H,,,,,,,,,,,,,,,,
1995-08-13,Vanspor,Galatasaray,0,1,A,,,,,,,,,,,,,,,,
1995-08-18,Ankaragucu,Istanbulspor,3,1,H,,,,,,,,,,,,,,,,
1995-08-19,Eskisehirspor,Fenerbahce,1,2,A,,,,,,,,,,,,,,,,
1995-08-19,Galatasaray,Altay,3,1,H,,,,,,,,,,,,,,,,
1995-08-20,Besiktas,Genclerbirligi,2,2,D,,,,,,,,,,,,,,,,
1995-08-20,Bursaspor,Samsunspor,2,4,A,,,,,,,,,,,,,,,,
1995-08-20,Gaziantepspor,Trabzonspor,0,0,D,,,,,,,,,,,,,,,,
1995-08-20,Karsiyaka,Vanspor,2,1,H,,,,,,,,,,,,,,,,
1995-08-20,Kayseri,Denizlispor,0,0,D,,,,,,,,,,,,,,,,
1995-08-20,Kocaelispor,Antalyaspor,2,2,D,,,,,,,,,,,,,,,,
1995-08-25,Samsunspor,Kocaelispor,0,0,D,,,,,,,,,,,,,,,,
1995-08-26,Istanbulspor,Gaziantepspor,2,0,H,,,,,,,,,,,,,,,,
1995-08-26,Trabzonspor,Bursaspor,0,0,D,,,,,,,,,,,,,,,,
1995-08-27,Antalyaspor,Besiktas,0,3,A,,,,,,,,,,,,,,,,
1995-08-27,Fenerbahce,Ankaragucu,2,0,H,,,,,,,,,,,,,,,,
1995-08-27,Genclerbirligi,Denizlispor,1,1,D,,,,,,,,,,,,,,,,
1995-08-27,Karsiyaka,Eskisehirspor,3,2,H,,,,,,,,,,,,,,,,
1995-08-27,Kayseri,Galatasaray,1,2,A,,,,,,,,,,,,,,,,
1995-08-27,Vanspor,Altay,2,0,H,,,,,,,,,,,,,,,,
1995-09-08,Ankaragucu,Karsiyaka,1,0,H,,,,,,,,,,,,,,,,
1995-09-09,Bursaspor,Istanbulspor,2,1,H,,,,,,,,,,,,,,,,
1995-09-09,Galatasaray,Genclerbirligi,0,1,A,,,,,,,,,,,,,,,,
1995-09-09,Gaziantepspor,Fenerbahce,2,2,D,,,,,,,,,,,,,,,,
1995-09-10,Altay,Kayseri,2,0,H,,,,,,,,,,,,,,,,
1995-09-10,Antalyaspor,Denizlispor,1,0,H,,,,,,,,,,,,,,,,
1995-09-10,Besiktas,Samsunspor,4,2,H,,,,,,,,,,,,,,,,
1995-09-10,Eskisehirspor,Vanspor,2,1,H,,,,,,,,,,,,,,,,
1995-09-10,Kocaelispor,Trabzonspor,1,3,A,,,,,,,,,,,,,,,,
1995-09-15,Istanbulspor,Kocaelispor,1,2,A,,,,,,,,,,,,,,,,
1995-09-16,Fenerbahce,Bursaspor,1,1,D,,,,,,,,,,,,,,,,
1995-09-16,Samsunspor,Denizlispor,1,3,A,,,,,,,,,,,,,,,,
1995-09-17,Antalyaspor,Galatasaray,0,2,A,,,,,,,,,,,,,,,,
1995-09-17,Eskisehirspor,Ankaragucu,2,1,H,,,,,,,,,,,,,,,,
1995-09-17,Genclerbirligi,Altay,1,2,A,,,,,,,,,,,,,,,,
1995-09-17,Karsiyaka,Gaziantepspor,2,1,H,,,,,,,,,,,,,,,,
1995-09-17,Trabzonspor,Besiktas,3,1,H,,,,,,,,,,,,,,,,
1995-09-17,Vanspor,Kayseri,1,0,H,,,,,,,,,,,,,,,,
1995-09-22,Galatasaray,Samsunspor,1,0,H,,,,,,,,,,,,,,,,
1995-09-23,Denizlispor,Trabzonspor,0,3,A,,,,,,,,,,,,,,,,
1995-09-23,Kocaelispor,Fenerbahce,0,1,A,,,,,,,,,,,,,,,,
1995-09-24,Altay,Antalyaspor,1,2,A,,,,,,,,,,,,,,,,
1995-09-24,Ankaragucu,Vanspor,0,0,D,,,,,,,,,,,,,,,,
1995-09-24,Besiktas,Istanbulspor,5,2,H,,,,,,,,,,,,,,,,
1995-09-24,Bursaspor,Karsiyaka,3,1,H,,,,,,,,,,,,,,,,
1995-09-24,Gaziantepspor,Eskisehirspor,3,0,H,,,,,,,,,,,,,,,,
1995-09-24,Kayseri,Genclerbirligi,2,2,D,,,,,,,,,,,,,,,,
1995-09-29,Ankaragucu,Gaziantepspor,0,0,D,,,,,,,,,,,,,,,,
1995-09-30,Fenerbahce,Besiktas,2,0,H,,,,,,,,,,,,,,,,
1995-10-01,Antalyaspor,Kayseri,3,3,D,,,,,,,,,,,,,,,,
1995-10-01,Eskisehirspor,Bursaspor,1,3,A,,,,,,,,,,,,,,,,
1995-10-01,Istanbulspor,Denizlispor,2,3,A,,,,,,,,,,,,,,,,
1995-10-01,Karsiyaka,Kocaelispor,1,2,A,,,,,,,,,,,,,,,,
1995-10-01,Samsunspor,Altay,4,0,H,,,,,,,,,,,,,,,,
1995-10-01,Trabzonspor,Galatasaray,4,1,H,,,,,,,,,,,,,,,,
1995-10-01,Vanspor,Genclerbirligi,0,1,A,,,,,,,,,,,,,,,,
1995-10-13,Bursaspor,Ankaragucu,8,0,H,,,,,,,,,,,,,,,,
1995-10-14,Denizlispor,Fenerbahce,0,0,D,,,,,,,,,,,,,,,,
1995-10-14,Galatasaray,Istanbulspor,4,2,H,,,,,,,,,,,,,,,,
1995-10-15,Altay,Trabzonspor,2,5,A,,,,,,,,,,,,,,,,
1995-10-15,Besiktas,Karsiyaka,4,0,H,,,,,,,,,,,,,,,,
1995-10-15,Gaziantepspor,Vanspor,1,0,H,,,,,,,,,,,,,,,,
1995-10-15,Genclerbirligi,Antalyaspor,6,3,H,,,,,,,,,,,,,,,,
1995-10-15,Kayseri,Samsunspor,3,2,H,,,,,,,,,,,,,,,,
