Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2025-08-08,Gaziantep,Galatasaray,0,3,A,0,3,A,,5,15,2,5,14,15,1,4,2,4,1,0
2025-08-09,Samsunspor,Genclerbirligi,2,1,H,1,0,H,,9,8,3,1,12,12,2,3,1,0,0,0
2025-08-09,Antalyaspor,Kasimpasa,2,1,H,2,1,H,,16,10,6,2,12,21,3,3,3,4,0,0
2025-08-10,Rizespor,Goztep,0,3,A,0,0,D,,13,17,1,4,9,14,3,5,2,1,0,0
2025-08-10,Eyupspor,Konyaspor,1,4,A,0,3,A,,16,16,3,5,9,12,8,7,2,1,0,0
2025-08-11,Trabzonspor,Kocaelispor,1,0,H,0,0,D,,11,12,1,2,9,16,3,5,2,0,0,0
2025-08-15,Galatasaray,Karagumruk,3,0,H,1,0,H,,28,6,8,2,11,12,10,3,0,1,0,1
2025-08-16,Kocaelispor,Samsunspor,0,1,A,0,0,D,,13,13,5,5,10,16,4,7,2,2,1,0
2025-08-16,Alanyaspor,Rizespor,0,0,D,0,0,D,,9,7,1,3,22,14,3,1,1,2,0,0
2025-08-16,Goztep,Fenerbahce,0,0,D,0,0,D,,12,12,2,1,24,13,3,6,6,4,1,1
2025-08-17,Genclerbirligi,Antalyaspor,0,1,A,0,0,D,,14,8,2,4,3,9,8,3,0,2,0,0
2025-08-17,Konyaspor,Gaziantep,3,0,H,1,0,H,,15,17,7,1,17,11,2,6,3,3,0,0
2025-08-17,Besiktas,Eyupspor,2,1,H,1,1,D,,18,11,9,4,14,10,10,3,2,2,0,0
2025-08-17,Buyuksehyr,Kayserispor,1,1,D,1,0,H,,13,9,4,3,12,13,5,7,1,1,0,0
2025-08-18,Kasimpasa,Trabzonspor,0,1,A,0,0,D,,8,11,0,1,24,13,6,4,2,2,0,0
2025-08-22,Karagumruk,Goztep,0,2,A,0,1,A,,11,16,2,7,13,19,4,6,2,2,0,0
2025-08-23,Fenerbahce,Kocaelispor,3,1,H,1,1,D,,21,7,7,1,12,15,6,0,1,3,0,0
2025-08-23,Gaziantep,Genclerbirligi,2,1,H,1,1,D,,25,7,4,3,12,18,10,4,3,6,0,1
2025-08-24,Trabzonspor,Antalyaspor,1,0,H,1,0,H,,17,7,6,4,12,13,5,5,1,2,0,0
2025-08-24,Kayserispor,Galatasaray,0,4,A,0,1,A,,8,20,2,9,5,8,6,3,2,2,0,0
2025-08-25,Eyupspor,Alanyaspor,2,1,H,1,0,H,,5,12,3,2,19,18,0,5,3,3,0,0
