Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2015-08-14,Fenerbahce,Eskisehirspor,2,0,H,2,0,H,,,,,,,,,,,,,
2015-08-15,Buyuksehyr,Antalyaspor,2,3,A,0,1,A,,,,,,,,,,,,,
2015-08-15,Sivasspor,Galatasaray,2,2,D,1,0,H,,,,,,,,,,,,,
2015-08-15,Trabzonspor,Bursaspor,1,0,H,0,0,D,,,,,,,,,,,,,
2015-08-16,Gaziantepspor,Kasimpasa,0,3,A,0,0,D,,,,,,,,,,,,,
2015-08-16,Konyaspor,Akhisar Belediyespor,1,1,D,0,1,A,,,,,,,,,,,,,
2015-08-16,Mersin Idman Yurdu,Besiktas,2,5,A,1,2,A,,,,,,,,,,,,,
2015-08-16,Osmanlispor,Kayserispor,1,1,D,0,0,D,,,,,,,,,,,,,
2015-08-17,Genclerbirligi,Rizespor,2,3,A,0,1,A,,,,,,,,,,,,,
2015-08-21,Kasimpasa,Buyuksehyr,1,0,H,1,0,H,,,,,,,,,,,,,
2015-08-22,Akhisar Belediyespor,Mersin Idman Yurdu,2,0,H,0,0,D,,,,,,,,,,,,,
2015-08-22,Besiktas,Trabzonspor,1,2,A,0,0,D,,,,,,,,,,,,,
2015-08-22,Kayserispor,Konyaspor,1,1,D,1,1,D,,,,,,,,,,,,,
2015-08-23,Antalyaspor,Genclerbirligi,3,1,H,0,1,A,,,,,,,,,,,,,
2015-08-23,Bursaspor,Gaziantepspor,0,1,A,0,0,D,,,,,,,,,,,,,
2015-08-23,Eskisehirspor,Sivasspor,4,2,H,2,0,H,,,,,,,,,,,,,
2015-08-23,Rizespor,Fenerbahce,1,1,D,0,1,A,,,,,,,,,,,,,
2015-08-24,Galatasaray,Osmanlispor,1,2,A,1,1,D,,,,,,,,,,,,,
2015-08-28,Gaziantepspor,Besiktas,0,4,A,0,0,D,,,,,,,,,,,,,
