Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
1994-08-13,Zeytinburnu,Fenerbahce,1,4,A,,,,,,,,,,,,,,,,
1994-08-14,Ad. Demirspor,Antalya,1,0,H,,,,,,,,,,,,,,,,
1994-08-14,Ankaragucu,Gaziantepspor,1,0,H,,,,,,,,,,,,,,,,
1994-08-14,Bursaspor,P. Ofisi,5,2,H,,,,,,,,,,,,,,,,
1994-08-14,Denizlispor,Besiktas,1,3,A,,,,,,,,,,,,,,,,
1994-08-14,Galatasaray,Genclerbirligi,3,1,H,,,,,,,,,,,,,,,,
1994-08-14,Kocaelispor,Samsunspor,0,0,D,,,,,,,,,,,,,,,,
1994-08-14,Trabzonspor,Altay,3,1,H,,,,,,,,,,,,,,,,
1994-08-14,Vanspor,Kayseri,3,0,H,,,,,,,,,,,,,,,,
1994-08-20,Fenerbahce,Ankaragucu,2,1,H,,,,,,,,,,,,,,,,
1994-08-20,P. Ofisi,Galatasaray,0,3,A,,,,,,,,,,,,,,,,
1994-08-21,Altay,Bursaspor,1,1,D,,,,,,,,,,,,,,,,
1994-08-21,Antalya,Trabzonspor,1,3,A,,,,,,,,,,,,,,,,
1994-08-21,Besiktas,Kocaelispor,7,1,H,,,,,,,,,,,,,,,,
1994-08-21,Gaziantepspor,Denizlispor,3,1,H,,,,,,,,,,,,,,,,
1994-08-21,Genclerbirligi,Zeytinburnu,1,1,D,,,,,,,,,,,,,,,,
1994-08-21,Kayseri,Ad. Demirspor,4,2,H,,,,,,,,,,,,,,,,
1994-08-21,Samsunspor,Vanspor,2,1,H,,,,,,,,,,,,,,,,
1994-08-27,Denizlispor,Fenerbahce,2,3,A,,,,,,,,,,,,,,,,
1994-08-28,Ad. Demirspor,Samsunspor,2,0,H,,,,,,,,,,,,,,,,
1994-08-28,Bursaspor,Antalya,2,1,H,,,,,,,,,,,,,,,,
1994-08-28,Galatasaray,Altay,3,1,H,,,,,,,,,,,,,,,,
1994-08-28,Genclerbirligi,P. Ofisi,1,0,H,,,,,,,,,,,,,,,,
1994-08-28,Kocaelispor,Gaziantepspor,2,1,H,,,,,,,,,,,,,,,,
1994-08-28,Trabzonspor,Kayseri,5,2,H,,,,,,,,,,,,,,,,
1994-08-28,Vanspor,Besiktas,0,2,A,,,,,,,,,,,,,,,,
1994-08-28,Zeytinburnu,Ankaragucu,2,0,H,,,,,,,,,,,,,,,,
1994-09-10,Ankaragucu,Denizlispor,2,1,H,,,,,,,,,,,,,,,,
1994-09-10,Fenerbahce,Kocaelispor,5,1,H,,,,,,,,,,,,,,,,
1994-09-10,Samsunspor,Trabzonspor,3,1,H,,,,,,,,,,,,,,,,
1994-09-11,Altay,Genclerbirligi,1,1,D,,,,,,,,,,,,,,,,
1994-09-11,Antalya,Galatasaray,0,5,A,,,,,,,,,,,,,,,,
1994-09-11,Besiktas,Ad. Demirspor,3,0,H,,,,,,,,,,,,,,,,
1994-09-11,Gaziantepspor,Vanspor,1,0,H,,,,,,,,,,,,,,,,
1994-09-11,Kayseri,Bursaspor,2,1,H,,,,,,,,,,,,,,,,
1994-09-11,P. Ofisi,Zeytinburnu,2,0,H,,,,,,,,,,,,,,,,
1994-09-17,P. Ofisi,Altay,2,2,D,,,,,,,,,,,,,,,,
1994-09-17,Vanspor,Fenerbahce,1,0,H,,,,,,,,,,,,,,,,
1994-09-18,Ad. Demirspor,Gaziantepspor,3,2,H,,,,,,,,,,,,,,,,
1994-09-18,Bursaspor,Samsunspor,1,1,D,,,,,,,,,,,,,,,,
1994-09-18,Galatasaray,Kayseri,2,1,H,,,,,,,,,,,,,,,,
1994-09-18,Genclerbirligi,Antalya,3,1,H,,,,,,,,,,,,,,,,
1994-09-18,Kocaelispor,Ankaragucu,2,0,H,,,,,,,,,,,,,,,,
1994-09-18,Trabzonspor,Besiktas,0,2,A,,,,,,,,,,,,,,,,
1994-09-18,Zeytinburnu,Denizlispor,1,0,H,,,,,,,,,,,,,,,,
1994-09-24,Fenerbahce,Ad. Demirspor,3,0,H,,,,,,,,,,,,,,,,
1994-09-24,Gaziantepspor,Trabzonspor,0,2,A,,,,,,,,,,,,,,,,
1994-09-24,Samsunspor,Galatasaray,2,2,D,,,,,,,,,,,,,,,,
1994-09-25,Altay,Zeytinburnu,2,0,H,,,,,,,,,,,,,,,,
1994-09-25,Ankaragucu,Vanspor,1,0,H,,,,,,,,,,,,,,,,
1994-09-25,Antalya,P. Ofisi,0,1,A,,,,,,,,,,,,,,,,
1994-09-25,Besiktas,Bursaspor,1,2,A,,,,,,,,,,,,,,,,
1994-09-25,Denizlispor,Kocaelispor,4,3,H,,,,,,,,,,,,,,,,
1994-09-25,Kayseri,Genclerbirligi,3,4,A,,,,,,,,,,,,,,,,
1994-10-01,Genclerbirligi,Samsunspor,5,1,H,,,,,,,,,,,,,,,,
1994-10-02,Ad. Demirspor,Ankaragucu,2,3,A,,,,,,,,,,,,,,,,
1994-10-02,Altay,Antalya,1,1,D,,,,,,,,,,,,,,,,
1994-10-02,Bursaspor,Gaziantepspor,3,0,H,,,,,,,,,,,,,,,,
1994-10-02,Galatasaray,Besiktas,3,1,H,,,,,,,,,,,,,,,,
1994-10-02,P. Ofisi,Kayseri,0,1,A,,,,,,,,,,,,,,,,
1994-10-02,Trabzonspor,Fenerbahce,1,0,H,,,,,,,,,,,,,,,,
1994-10-02,Vanspor,Denizlispor,2,1,H,,,,,,,,,,,,,,,,
1994-10-02,Zeytinburnu,Kocaelispor,3,2,H,,,,,,,,,,,,,,,,
1994-10-08,Ankaragucu,Trabzonspor,1,1,D,,,,,,,,,,,,,,,,
1994-10-08,Besiktas,Genclerbirligi,2,0,H,,,,,,,,,,,,,,,,
1994-10-08,Fenerbahce,Bursaspor,1,1,D,,,,,,,,,,,,,,,,
1994-10-08,Gaziantepspor,Galatasaray,2,2,D,,,,,,,,,,,,,,,,
1994-10-09,Antalya,Zeytinburnu,4,0,H,,,,,,,,,,,,,,,,
1994-10-09,Denizlispor,Ad. Demirspor,2,0,H,,,,,,,,,,,,,,,,
1994-10-09,Kayseri,Altay,1,1,D,,,,,,,,,,,,,,,,
1994-10-09,Kocaelispor,Vanspor,2,0,H,,,,,,,,,,,,,,,,
1994-10-09,Samsunspor,P. Ofisi,8,2,H,,,,,,,,,,,,,,,,
1994-10-15,Galatasaray,Fenerbahce,1,1,D,,,,,,,,,,,,,,,,
1994-10-15,Genclerbirligi,Gaziantepspor,3,2,H,,,,,,,,,,,,,,,,
1994-10-15,Trabzonspor,Denizlispor,3,1,H,,,,,,,,,,,,,,,,
1994-10-16,Ad. Demirspor,Kocaelispor,1,1,D,,,,,,,,,,,,,,,,
1994-10-16,Altay,Samsunspor,3,2,H,,,,,,,,,,,,,,,,
1994-10-16,Antalya,Kayseri,2,0,H,,,,,,,,,,,,,,,,
1994-10-16,Bursaspor,Ankaragucu,1,0,H,,,,,,,,,,,,,,,,
1994-10-16,P. Ofisi,Besiktas,0,2,A,,,,,,,,,,,,,,,,
1994-10-16,Zeytinburnu,Vanspor,0,2,A,,,,,,,,,,,,,,,,
1994-10-22,Fenerbahce,Genclerbirligi,2,3,A,,,,,,,,,,,,,,,,
1994-10-22,Kocaelispor,Trabzonspor,2,2,D,,,,,,,,,,,,,,,,
1994-10-23,Ankaragucu,Galatasaray,2,1,H,,,,,,,,,,,,,,,,
1994-10-23,Besiktas,Altay,1,0,H,,,,,,,,,,,,,,,,
1994-10-23,Denizlispor,Bursaspor,3,1,H,,,,,,,,,,,,,,,,
1994-10-23,Gaziantepspor,P. Ofisi,1,0,H,,,,,,,,,,,,,,,,
1994-10-23,Kayseri,Zeytinburnu,2,1,H,,,,,,,,,,,,,,,,
1994-10-23,Samsunspor,Antalya,1,0,H,,,,,,,,,,,,,,,,
1994-10-23,Vanspor,Ad. Demirspor,2,0,H,,,,,,,,,,,,,,,,
1994-10-29,Galatasaray,Denizlispor,4,0,H,,,,,,,,,,,,,,,,
1994-10-29,P. Ofisi,Fenerbahce,0,4,A,,,,,,,,,,,,,,,,
1994-10-29,Trabzonspor,Vanspor,0,0,D,,,,,,,,,,,,,,,,
1994-10-30,Altay,Gaziantepspor,5,2,H,,,,,,,,,,,,,,,,
1994-10-30,Antalya,Besiktas,1,1,D,,,,,,,,,,,,,,,,
1994-10-30,Bursaspor,Kocaelispor,1,0,H,,,,,,,,,,,,,,,,
1994-10-30,Genclerbirligi,Ankaragucu,1,0,H,,,,,,,,,,,,,,,,
1994-10-30,Kayseri,Samsunspor,2,2,D,,,,,,,,,,,,,,,,
1994-10-30,Zeytinburnu,Ad. Demirspor,4,2,H,,,,,,,,,,,,,,,,
1994-11-05,Ad. Demirspor,Trabzonspor,0,3,A,,,,,,,,,,,,,,,,
1994-11-05,Fenerbahce,Altay,2,1,H,,,,,,,,,,,,,,,,
1994-11-06,Ankaragucu,P. Ofisi,1,2,A,,,,,,,,,,,,,,,,
1994-11-06,Besiktas,Kayseri,4,1,H,,,,,,,,,,,,,,,,
1994-11-06,Denizlispor,Genclerbirligi,0,0,D,,,,,,,,,,,,,,,,
1994-11-06,Gaziantepspor,Antalya,2,0,H,,,,,,,,,,,,,,,,
1994-11-06,Kocaelispor,Galatasaray,0,2,A,,,,,,,,,,,,,,,,
1994-11-06,Samsunspor,Zeytinburnu,1,1,D,,,,,,,,,,,,,,,,
1994-11-06,Vanspor,Bursaspor,2,0,H,,,,,,,,,,,,,,,,
1994-11-12,Genclerbirligi,Kocaelispor,1,1,D,,,,,,,,,,,,,,,,
1994-11-13,Altay,Ankaragucu,1,1,D,,,,,,,,,,,,,,,,
1994-11-13,Antalya,Fenerbahce,2,1,H,,,,,,,,,,,,,,,,
1994-11-13,Bursaspor,Ad. Demirspor,2,0,H,,,,,,,,,,,,,,,,
1994-11-13,Galatasaray,Vanspor,4,1,H,,,,,,,,,,,,,,,,
1994-11-13,Kayseri,Gaziantepspor,1,1,D,,,,,,,,,,,,,,,,
