Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2019-08-16,Denizlispor,Galatasaray,2,0,H,0,0,D,,15,7,5,4,12,9,6,2,4,5,0,1
2019-08-17,Genclerbirligi,Rizespor,0,1,A,0,0,D,,8,11,1,5,16,14,4,2,4,2,1,0
2019-08-17,Kayserispor,Alanyaspor,0,1,A,0,0,D,,6,14,3,7,13,10,6,9,4,1,0,0
2019-08-17,Sivasspor,Besiktas,3,0,H,1,0,H,,13,13,8,3,15,9,7,0,4,3,0,0
2019-08-18,Konyaspor,Ankaragucu,0,0,D,0,0,D,,23,9,4,1,7,14,4,1,0,2,0,0
2019-08-18,Goztep,Antalyaspor,0,1,A,0,1,A,,7,10,1,3,15,13,5,5,3,3,0,0
2019-08-18,Kasimpasa,Trabzonspor,1,1,D,1,1,D,,15,17,7,2,14,17,5,9,2,0,0,0
2019-08-18,Yeni Malatyaspor,Buyuksehyr,3,0,H,0,0,D,,9,15,5,4,11,15,2,11,3,2,0,1
2019-08-19,Fenerbahce,Gaziantep,5,0,H,3,0,H,,18,4,9,0,14,18,4,2,1,4,0,0
2019-08-23,Besiktas,Goztep,3,0,H,1,0,H,,8,12,4,3,19,9,8,3,1,1,0,0
2019-08-24,Ankaragucu,Kayserispor,1,1,D,0,0,D,,15,15,5,5,18,9,1,7,3,1,0,0
2019-08-24,Alanyaspor,Kasimpasa,4,1,H,1,1,D,,18,6,8,1,13,11,1,4,4,4,0,0
2019-08-24,Buyuksehyr,Fenerbahce,1,2,A,1,0,H,,12,13,4,3,11,10,4,4,0,0,0,0
2019-08-25,Rizespor,Sivasspor,2,1,H,0,0,D,,11,15,5,2,15,11,1,12,2,2,0,0
2019-08-25,Trabzonspor,Yeni Malatyaspor,2,1,H,1,0,H,,16,13,5,2,5,13,4,5,1,2,0,0
2019-08-25,Antalyaspor,Denizlispor,0,2,A,0,1,A,,19,8,3,2,13,14,5,3,1,3,0,0
2019-08-25,Galatasaray,Konyaspor,1,1,D,0,0,D,,18,16,6,4,8,11,2,5,1,3,1,0
2019-08-26,Gaziantep,Genclerbirligi,4,1,H,2,0,H,,15,12,7,4,17,8,4,6,1,1,0,2
2019-08-30,Kasimpasa,Ankaragucu,0,1,A,0,1,A,,27,4,7,2,10,26,10,1,1,5,0,0
2019-08-30,Kayserispor,Galatasaray,2,3,A,1,0,H,,8,20,4,10,21,13,1,4,8,6,3,1
2019-08-31,Konyaspor,Antalyaspor,2,2,D,0,1,A,,17,15,4,6,13,14,5,7,2,2,0,0
2019-08-31,Besiktas,Rizespor,1,1,D,0,1,A,,20,6,4,2,16,10,11,2,5,1,0,0
2019-08-31,Goztep,Denizlispor,0,0,D,0,0,D,,17,5,2,1,13,14,5,1,2,3,0,1
2019-09-01,Genclerbirligi,Buyuksehyr,1,2,A,1,0,H,,8,22,5,9,26,17,4,5,5,2,0,0
2019-09-01,Sivasspor,Gaziantep,1,1,D,0,1,A,,22,11,5,4,14,19,7,5,3,4,0,0
2019-09-01,Fenerbahce,Trabzonspor,1,1,D,1,1,D,,21,10,9,5,14,9,6,3,1,3,0,0
2019-09-01,Yeni Malatyaspor,Alanyaspor,2,3,A,0,3,A,,14,8,8,5,18,13,5,3,4,2,0,0
2019-09-13,Galatasaray,Kasimpasa,1,0,H,1,0,H,,14,9,4,2,15,18,3,5,2,3,0,0
2019-09-14,Buyuksehyr,Sivasspor,1,1,D,0,1,A,,13,9,5,2,13,15,7,4,2,2,0,0
2019-09-14,Antalyaspor,Kayserispor,2,2,D,1,1,D,,18,5,5,3,14,15,11,3,3,1,0,0
2019-09-14,Gaziantep,Besiktas,3,2,H,1,0,H,,14,12,5,5,15,9,4,14,4,4,1,2
2019-09-15,Ankaragucu,Yeni Malatyaspor,0,4,A,0,3,A,,11,18,2,10,12,12,4,2,4,3,1,0
2019-09-15,Rizespor,Goztep,0,0,D,0,0,D,,9,3,2,1,21,10,3,3,3,4,0,0
2019-09-15,Denizlispor,Konyaspor,0,1,A,0,0,D,,8,10,2,4,13,4,3,5,4,2,0,0
2019-09-15,Trabzonspor,Genclerbirligi,2,2,D,1,1,D,,17,14,9,6,11,15,2,4,2,2,0,0
2019-09-16,Alanyaspor,Fenerbahce,3,1,H,1,1,D,,12,11,6,4,13,14,3,3,1,1,0,0
2019-09-20,Goztep,Konyaspor,1,0,H,0,0,D,,16,9,10,1,9,14,9,1,1,3,1,0
2019-09-21,Kasimpasa,Antalyaspor,3,0,H,0,0,D,,15,10,7,3,17,15,4,10,2,3,0,0
2019-09-21,Kayserispor,Denizlispor,1,1,D,1,0,H,,12,18,5,5,19,13,3,4,2,1,0,0
2019-09-21,Fenerbahce,Ankaragucu,2,1,H,1,1,D,,30,6,8,3,11,11,8,1,2,3,0,0
2019-09-22,Rizespor,Gaziantep,1,2,A,0,2,A,,15,5,4,4,9,13,8,4,2,2,0,0
2019-09-22,Genclerbirligi,Alanyaspor,1,1,D,1,0,H,,12,14,5,5,5,22,1,5,3,3,0,0
2019-09-22,Yeni Malatyaspor,Galatasaray,1,1,D,0,1,A,,16,12,4,3,16,16,8,3,1,3,0,0
2019-09-23,Besiktas,Buyuksehyr,1,1,D,0,0,D,,8,11,2,7,9,18,0,4,4,5,0,0
2019-09-23,Sivasspor,Trabzonspor,2,1,H,1,1,D,,16,15,6,4,16,18,4,5,3,3,0,0
2019-09-27,Buyuksehyr,Rizespor,5,0,H,2,0,H,,16,13,7,1,9,14,4,6,0,2,0,0
2019-09-28,Denizlispor,Kasimpasa,0,1,A,0,0,D,,16,16,7,7,10,19,4,5,0,2,0,0
2019-09-28,Alanyaspor,Sivasspor,1,1,D,0,1,A,,29,8,11,4,19,17,11,3,3,4,0,0
2019-09-28,Galatasaray,Fenerbahce,0,0,D,0,0,D,,5,12,3,3,18,13,4,5,2,1,0,0
2019-09-29,Konyaspor,Kayserispor,2,1,H,1,1,D,,24,7,8,3,10,19,5,3,4,7,0,2
2019-09-29,Ankaragucu,Genclerbirligi,2,1,H,0,0,D,,12,17,5,6,15,11,4,9,1,2,0,0
2019-09-29,Antalyaspor,Yeni Malatyaspor,3,0,H,1,0,H,,11,11,5,1,14,14,2,4,2,2,0,1
2019-09-29,Trabzonspor,Besiktas,4,1,H,2,0,H,,13,12,5,4,23,10,2,8,6,3,0,0
2019-09-30,Gaziantep,Goztep,1,1,D,0,0,D,,15,4,2,2,12,9,5,5,2,4,0,1
2019-10-04,Fenerbahce,Antalyaspor,0,1,A,0,1,A,,25,7,6,5,10,17,10,3,1,2,0,0
2019-10-04,Yeni Malatyaspor,Denizlispor,5,1,H,2,0,H,,15,9,7,4,20,13,6,3,2,6,0,0
2019-10-05,Kasimpasa,Konyaspor,1,4,A,1,3,A,,17,14,8,9,11,10,9,2,5,4,0,0
2019-10-05,Goztep,Kayserispor,4,0,H,3,0,H,,16,8,8,3,13,15,6,5,1,2,0,0
2019-10-05,Genclerbirligi,Galatasaray,0,0,D,0,0,D,,20,11,6,2,19,17,4,5,7,4,1,0
2019-10-06,Sivasspor,Ankaragucu,3,1,H,1,1,D,,11,14,5,4,14,12,8,3,4,1,0,0
