Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2017-08-11,Buyuksehyr,Bursaspor,1,0,H,1,0,H,,5,4,3,1,15,9,0,3,1,1,0,0
2017-08-12,Akhisar Belediyespor,Sivasspor,1,0,H,0,0,D,,9,5,3,1,17,15,3,4,3,2,0,0
2017-08-12,Alanyaspor,Kasimpasa,1,3,A,1,2,A,,16,7,7,3,12,23,5,3,2,4,0,0
2017-08-12,Genclerbirligi,Karabukspor,1,1,D,1,1,D,,6,6,3,1,20,19,4,1,2,3,0,0
2017-08-12,Goztep,Fenerbahce,2,2,D,1,1,D,,6,8,4,5,20,12,0,4,4,1,0,0
2017-08-13,Besiktas,Antalyaspor,2,0,H,1,0,H,,9,6,5,2,23,16,3,3,3,4,0,0
2017-08-13,Trabzonspor,Konyaspor,2,1,H,1,1,D,,9,11,6,4,20,20,1,6,4,2,0,0
2017-08-13,Yeni Malatyaspor,Osmanlispor,3,1,H,1,0,H,,10,9,6,5,14,13,3,5,1,3,0,1
2017-08-14,Galatasaray,Kayserispor,4,1,H,3,1,H,,13,6,8,2,14,18,2,2,2,4,0,1
2017-08-18,Kasimpasa,Besiktas,2,2,D,1,2,A,,7,11,4,5,14,20,4,4,4,2,0,0
2017-08-19,Bursaspor,Alanyaspor,3,2,H,2,0,H,,11,11,6,6,16,15,1,2,2,2,0,0
2017-08-19,Karabukspor,Buyuksehyr,3,1,H,2,1,H,,8,4,3,2,14,8,5,1,2,1,0,0
2017-08-19,Osmanlispor,Galatasaray,1,3,A,0,2,A,,7,8,4,6,16,17,4,5,2,2,0,0
2017-08-19,Sivasspor,Yeni Malatyaspor,2,0,H,1,0,H,,8,8,2,2,19,16,4,7,3,2,0,0
2017-08-20,Antalyaspor,Akhisar Belediyespor,2,2,D,1,1,D,,7,10,3,4,15,10,3,4,3,2,0,0
2017-08-20,Fenerbahce,Trabzonspor,2,2,D,1,1,D,,8,5,3,3,17,28,4,9,2,4,0,0
2017-08-20,Kayserispor,Goztep,1,0,H,1,0,H,,6,8,2,4,15,19,3,5,3,1,0,0
2017-08-21,Konyaspor,Genclerbirligi,3,0,H,2,0,H,,9,6,6,3,14,15,1,2,1,1,0,0
2017-08-25,Alanyaspor,Karabukspor,1,1,D,0,1,A,,6,12,3,6,9,27,9,2,1,5,0,0
2017-08-25,Galatasaray,Sivasspor,3,0,H,1,0,H,,9,6,6,2,20,11,6,5,3,0,0,0
2017-08-26,Besiktas,Bursaspor,2,1,H,1,1,D,,11,3,7,2,17,12,8,4,2,3,0,0
2017-08-26,Goztep,Trabzonspor,3,2,H,2,2,D,,15,10,9,2,18,18,3,4,2,4,0,0
2017-08-26,Kayserispor,Osmanlispor,2,2,D,1,1,D,,8,13,4,4,13,9,6,3,5,1,1,1
2017-08-26,Yeni Malatyaspor,Antalyaspor,1,1,D,0,1,A,,9,8,5,5,13,18,10,1,3,2,0,0
2017-08-27,Akhisar Belediyespor,Kasimpasa,2,1,H,0,0,D,,10,9,5,3,8,14,4,3,3,3,1,0
2017-08-27,Buyuksehyr,Konyaspor,2,1,H,0,0,D,,9,8,6,4,19,12,6,7,4,5,0,1
2017-08-27,Genclerbirligi,Fenerbahce,1,2,A,1,1,D,,5,9,2,3,13,12,8,3,3,4,2,0
2017-09-09,Fenerbahce,Buyuksehyr,2,3,A,1,2,A,,8,9,2,7,17,12,5,3,2,4,0,0
2017-09-09,Karabukspor,Besiktas,0,1,A,0,0,D,,13,12,5,6,18,15,3,4,3,4,0,1
2017-09-09,Konyaspor,Alanyaspor,0,2,A,0,1,A,,12,12,6,6,12,11,12,5,3,2,0,0
2017-09-09,Sivasspor,Kayserispor,0,2,A,0,1,A,,6,7,2,4,13,18,6,4,2,2,0,0
2017-09-10,Antalyaspor,Galatasaray,1,1,D,0,1,A,,7,6,4,1,11,18,10,0,0,1,0,0
2017-09-10,Bursaspor,Akhisar Belediyespor,3,0,H,0,0,D,,12,14,5,6,6,10,4,7,2,1,0,0
2017-09-10,Osmanlispor,Goztep,0,2,A,0,2,A,,13,6,4,5,14,15,3,4,1,1,0,0
2017-09-10,Trabzonspor,Genclerbirligi,3,1,H,0,1,A,,14,7,5,3,15,21,4,5,4,7,0,0
2017-09-11,Kasimpasa,Yeni Malatyaspor,3,2,H,1,1,D,,10,6,4,4,15,13,3,7,3,2,0,0
2017-09-15,Kayserispor,Antalyaspor,2,0,H,1,0,H,,8,4,3,2,6,11,5,5,2,5,0,0
2017-09-16,Akhisar Belediyespor,Karabukspor,2,1,H,1,1,D,,8,7,3,4,15,18,2,3,2,3,0,0
2017-09-16,Galatasaray,Kasimpasa,2,0,H,1,0,H,,14,7,8,2,14,11,11,2,1,4,0,0
2017-09-16,Yeni Malatyaspor,Bursaspor,2,4,A,0,2,A,,11,7,3,4,8,18,5,3,3,3,0,0
2017-09-17,Alanyaspor,Fenerbahce,1,4,A,1,2,A,,6,12,2,8,12,14,3,6,0,3,0,0
2017-09-17,Buyuksehyr,Trabzonspor,2,2,D,1,1,D,,11,6,6,3,18,22,4,0,5,2,0,0
2017-09-17,Goztep,Genclerbirligi,3,2,H,2,1,H,,12,10,8,6,13,18,5,6,3,4,0,0
2017-09-17,Osmanlispor,Sivasspor,2,4,A,2,4,A,,10,15,5,8,9,17,6,7,2,6,0,0
2017-09-18,Besiktas,Konyaspor,2,0,H,1,0,H,,16,11,9,3,8,12,3,2,2,2,0,0
2017-09-22,Trabzonspor,Alanyaspor,3,4,A,3,1,H,,12,10,3,5,17,7,5,5,4,4,0,0
2017-09-23,Fenerbahce,Besiktas,2,1,H,1,0,H,,9,8,3,3,22,16,5,8,3,9,2,3
2017-09-23,Genclerbirligi,Buyuksehyr,1,0,H,0,0,D,,10,7,6,2,19,17,3,3,3,2,0,0
2017-09-23,Konyaspor,Akhisar Belediyespor,2,0,H,1,0,H,,8,9,4,3,15,15,2,6,2,2,0,0
2017-09-24,Bursaspor,Galatasaray,1,2,A,1,0,H,,7,11,5,6,11,15,6,9,0,2,0,0
2017-09-24,Karabukspor,Yeni Malatyaspor,2,4,A,0,3,A,,12,6,5,5,24,12,4,4,2,2,0,0
2017-09-24,Kasimpasa,Kayserispor,1,1,D,1,0,H,,10,7,5,4,17,11,2,5,1,1,0,0
2017-09-24,Sivasspor,Goztep,2,3,A,1,2,A,,7,11,4,8,7,14,6,2,0,1,1,0
