Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2000-08-11,Kocaelispor,Fenerbahce,0,4,A,0,2,A,,,,,,,,,,,,,
2000-08-12,Besiktas,Yozgatspor,3,0,H,1,0,H,,,,,,,,,,,,,
2000-08-12,Bursaspor,Gaziantepspor,3,3,D,1,1,D,,,,,,,,,,,,,
2000-08-12,Erzurumspor,Trabzonspor,1,3,A,0,0,D,,,,,,,,,,,,,
2000-08-12,Genclerbirligi,Rizespor,0,0,D,0,0,D,,,,,,,,,,,,,
2000-08-13,Denizlispor,Galatasaray,0,1,A,0,1,A,,,,,,,,,,,,,
2000-08-13,Istanbulspor,Adanaspor,1,6,A,1,3,A,,,,,,,,,,,,,
2000-08-13,Samsunspor,Ankaragucu,3,0,H,3,0,H,,,,,,,,,,,,,
2000-08-13,Siirt Jet-PA,Antalyaspor,1,2,A,1,0,H,,,,,,,,,,,,,
2000-08-18,Antalyaspor,Besiktas,1,2,A,0,0,D,,,,,,,,,,,,,
2000-08-19,Ankaragucu,Kocaelispor,1,0,H,1,0,H,,,,,,,,,,,,,
2000-08-19,Galatasaray,Erzurumspor,7,0,H,3,0,H,,,,,,,,,,,,,
2000-08-19,Siirt Jet-PA,Rizespor,2,3,A,2,1,H,,,,,,,,,,,,,
2000-08-19,Yozgatspor,Denizlispor,2,0,H,0,0,D,,,,,,,,,,,,,
2000-08-20,Fenerbahce,Istanbulspor,2,0,H,0,0,D,,,,,,,,,,,,,
2000-08-20,Gaziantepspor,Samsunspor,4,0,H,2,0,H,,,,,,,,,,,,,
2000-08-20,Genclerbirligi,Adanaspor,1,0,H,0,0,D,,,,,,,,,,,,,
2000-08-20,Trabzonspor,Bursaspor,2,1,H,1,0,H,,,,,,,,,,,,,
2000-08-25,Samsunspor,Trabzonspor,1,1,D,1,1,D,,,,,,,,,,,,,
2000-08-26,Denizlispor,Erzurumspor,3,1,H,3,0,H,,,,,,,,,,,,,
2000-08-26,Genclerbirligi,Fenerbahce,3,1,H,1,0,H,,,,,,,,,,,,,
2000-08-26,Siirt Jet-PA,Adanaspor,2,2,D,1,1,D,,,,,,,,,,,,,
2000-08-27,Besiktas,Rizespor,2,1,H,1,1,D,,,,,,,,,,,,,
2000-08-27,Istanbulspor,Ankaragucu,0,2,A,0,1,A,,,,,,,,,,,,,
2000-08-27,Kocaelispor,Gaziantepspor,1,2,A,1,2,A,,,,,,,,,,,,,
2000-08-27,Yozgatspor,Antalyaspor,0,0,D,0,0,D,,,,,,,,,,,,,
2000-09-06,Bursaspor,Galatasaray,0,2,A,0,1,A,,,,,,,,,,,,,
2000-09-08,Adanaspor,Besiktas,1,1,D,1,0,H,,,,,,,,,,,,,
2000-09-09,Ankaragucu,Genclerbirligi,2,3,A,0,1,A,,,,,,,,,,,,,
2000-09-09,Antalyaspor,Denizlispor,4,1,H,2,0,H,,,,,,,,,,,,,
2000-09-09,Galatasaray,Samsunspor,1,2,A,1,0,H,,,,,,,,,,,,,
2000-09-09,Trabzonspor,Kocaelispor,2,1,H,1,0,H,,,,,,,,,,,,,
2000-09-10,Erzurumspor,Bursaspor,5,0,H,2,0,H,,,,,,,,,,,,,
2000-09-10,Fenerbahce,Siirt Jet-PA,4,2,H,1,1,D,,,,,,,,,,,,,
2000-09-10,Gaziantepspor,Istanbulspor,0,0,D,0,0,D,,,,,,,,,,,,,
2000-09-10,Yozgatspor,Rizespor,0,0,D,0,0,D,,,,,,,,,,,,,
2000-09-15,Kocaelispor,Galatasaray,1,4,A,1,1,D,,,,,,,,,,,,,
2000-09-16,Besiktas,Fenerbahce,3,0,H,1,0,H,,,,,,,,,,,,,
2000-09-16,Denizlispor,Bursaspor,1,1,D,1,1,D,,,,,,,,,,,,,
2000-09-16,Samsunspor,Erzurumspor,2,2,D,1,0,H,,,,,,,,,,,,,
2000-09-17,Antalyaspor,Rizespor,2,1,H,2,1,H,,,,,,,,,,,,,
2000-09-17,Genclerbirligi,Gaziantepspor,2,0,H,0,0,D,,,,,,,,,,,,,
2000-09-17,Istanbulspor,Trabzonspor,1,0,H,1,0,H,,,,,,,,,,,,,
2000-09-17,Siirt Jet-PA,Ankaragucu,1,1,D,1,0,H,,,,,,,,,,,,,
2000-09-17,Yozgatspor,Adanaspor,4,1,H,2,0,H,,,,,,,,,,,,,
2000-09-22,Ankaragucu,Besiktas,1,5,A,0,2,A,,,,,,,,,,,,,
2000-09-23,Adanaspor,Antalyaspor,1,1,D,0,0,D,,,,,,,,,,,,,
2000-09-23,Bursaspor,Samsunspor,0,2,A,0,0,D,,,,,,,,,,,,,
2000-09-23,Gaziantepspor,Siirt Jet-PA,4,0,H,1,0,H,,,,,,,,,,,,,
2000-09-23,Galatasaray,Istanbulspor,1,1,D,1,1,D,,,,,,,,,,,,,
2000-09-24,Denizlispor,Rizespor,0,0,D,0,0,D,,,,,,,,,,,,,
2000-09-24,Erzurumspor,Kocaelispor,1,0,H,0,0,D,,,,,,,,,,,,,
2000-09-24,Fenerbahce,Yozgatspor,3,1,H,1,0,H,,,,,,,,,,,,,
2000-09-24,Trabzonspor,Genclerbirligi,2,0,H,0,0,D,,,,,,,,,,,,,
2000-09-29,Denizlispor,Samsunspor,3,1,H,3,1,H,,,,,,,,,,,,,
2000-09-30,Genclerbirligi,Galatasaray,1,4,A,1,2,A,,,,,,,,,,,,,
2000-09-30,Istanbulspor,Erzurumspor,1,0,H,0,0,D,,,,,,,,,,,,,
2000-09-30,Kocaelispor,Bursaspor,0,0,D,0,0,D,,,,,,,,,,,,,
2000-10-01,Adanaspor,Rizespor,1,0,H,1,0,H,,,,,,,,,,,,,
2000-10-01,Antalyaspor,Fenerbahce,0,1,A,0,0,D,,,,,,,,,,,,,
2000-10-01,Besiktas,Gaziantepspor,2,4,A,0,1,A,,,,,,,,,,,,,
2000-10-01,Siirt Jet-PA,Trabzonspor,1,4,A,1,2,A,,,,,,,,,,,,,
2000-10-01,Yozgatspor,Ankaragucu,0,1,A,0,0,D,,,,,,,,,,,,,
2000-10-13,Adanaspor,Denizlispor,2,3,A,1,1,D,,,,,,,,,,,,,
2000-10-14,Bursaspor,Istanbulspor,2,5,A,1,0,H,,,,,,,,,,,,,
2000-10-14,Gaziantepspor,Yozgatspor,3,1,H,0,0,D,,,,,,,,,,,,,
2000-10-14,Galatasaray,Siirt Jet-PA,4,1,H,3,0,H,,,,,,,,,,,,,
2000-10-14,Trabzonspor,Besiktas,2,0,H,2,0,H,,,,,,,,,,,,,
2000-10-15,Ankaragucu,Antalyaspor,1,1,D,0,0,D,,,,,,,,,,,,,
2000-10-15,Erzurumspor,Genclerbirligi,1,2,A,0,0,D,,,,,,,,,,,,,
2000-10-15,Fenerbahce,Rizespor,1,0,H,0,0,D,,,,,,,,,,,,,
2000-10-15,Samsunspor,Kocaelispor,0,1,A,0,0,D,,,,,,,,,,,,,
2000-10-19,Antalyaspor,Gaziantepspor,2,2,D,2,2,D,,,,,,,,,,,,,
2000-10-20,Adanaspor,Fenerbahce,1,1,D,0,1,A,,,,,,,,,,,,,
2000-10-21,Besiktas,Galatasaray,3,1,H,1,1,D,,,,,,,,,,,,,
2000-10-21,Denizlispor,Kocaelispor,2,1,H,2,1,H,,,,,,,,,,,,,
2000-10-21,Genclerbirligi,Bursaspor,0,1,A,0,0,D,,,,,,,,,,,,,
2000-10-21,Istanbulspor,Samsunspor,0,0,D,0,0,D,,,,,,,,,,,,,
2000-10-21,Rizespor,Ankaragucu,1,1,D,0,1,A,,,,,,,,,,,,,
2000-10-21,Siirt Jet-PA,Erzurumspor,1,1,D,1,1,D,,,,,,,,,,,,,
2000-10-21,Yozgatspor,Trabzonspor,1,1,D,0,1,A,,,,,,,,,,,,,
2000-10-27,Fenerbahce,Denizlispor,5,2,H,1,1,D,,,,,,,,,,,,,
2000-10-28,Ankaragucu,Adanaspor,4,0,H,1,0,H,,,,,,,,,,,,,
2000-10-28,Bursaspor,Siirt Jet-PA,3,2,H,3,1,H,,,,,,,,,,,,,
2000-10-28,Erzurumspor,Besiktas,1,3,A,1,1,D,,,,,,,,,,,,,
2000-10-28,Trabzonspor,Antalyaspor,4,0,H,1,0,H,,,,,,,,,,,,,
2000-10-29,Gaziantepspor,Rizespor,2,1,H,1,1,D,,,,,,,,,,,,,
2000-10-29,Galatasaray,Yozgatspor,3,0,H,1,0,H,,,,,,,,,,,,,
2000-10-29,Kocaelispor,Istanbulspor,1,1,D,0,1,A,,,,,,,,,,,,,
