Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2021-08-13,Besiktas,Rizespor,3,0,H,1,0,H,,19,3,6,0,23,16,4,5,2,1,0,0
2021-08-14,Karagumruk,Gaziantep,3,2,H,2,1,H,,11,11,5,4,10,15,4,1,2,3,0,1
2021-08-14,Altay,Kayserispor,3,0,H,2,0,H,,15,8,7,3,15,10,2,4,0,0,0,0
2021-08-14,Hatayspor,Kasimpasa,1,1,D,0,1,A,,10,11,2,4,12,13,7,3,3,3,0,0
2021-08-15,Buyuksehyr,Alanyaspor,0,1,A,0,1,A,,17,8,5,4,17,9,8,0,0,2,0,0
2021-08-15,Ad. Demirspor,Fenerbahce,0,1,A,0,0,D,,20,14,7,4,9,13,5,5,1,2,0,0
2021-08-15,Antalyaspor,Goztep,1,1,D,1,0,H,,4,12,2,4,17,13,2,8,3,5,0,0
2021-08-16,Sivasspor,Konyaspor,0,1,A,0,0,D,,14,14,3,5,13,9,5,3,0,2,0,0
2021-08-16,Yeni Malatyaspor,Trabzonspor,1,5,A,1,4,A,,16,14,3,8,7,11,8,2,2,1,0,0
2021-08-16,Giresunspor,Galatasaray,0,2,A,0,2,A,,7,10,1,6,12,14,5,4,0,2,1,1
2021-08-20,Kayserispor,Ad. Demirspor,1,1,D,1,0,H,,12,12,3,6,12,13,6,6,1,6,0,0
2021-08-21,Kasimpasa,Giresunspor,2,0,H,1,0,H,,9,15,3,1,15,9,3,2,3,3,0,0
2021-08-21,Rizespor,Karagumruk,0,0,D,0,0,D,,7,10,1,4,13,13,2,6,1,1,0,0
2021-08-21,Alanyaspor,Altay,1,4,A,0,2,A,,10,23,2,7,10,11,1,5,3,0,2,0
2021-08-21,Gaziantep,Besiktas,0,0,D,0,0,D,,10,7,1,3,9,10,5,2,2,2,0,0
2021-08-22,Konyaspor,Buyuksehyr,2,1,H,0,1,A,,15,13,6,4,7,12,4,5,1,0,0,0
2021-08-22,Fenerbahce,Antalyaspor,2,0,H,0,0,D,,21,11,7,4,8,8,13,2,1,2,0,0
2021-08-22,Goztep,Yeni Malatyaspor,0,1,A,0,0,D,,10,11,3,2,8,11,4,1,1,1,0,0
2021-08-23,Trabzonspor,Sivasspor,2,1,H,1,0,H,,14,17,6,4,18,9,4,4,4,2,0,0
2021-08-23,Galatasaray,Hatayspor,2,1,H,1,1,D,,14,6,4,4,11,14,17,1,1,2,0,0
2021-08-27,Antalyaspor,Rizespor,3,2,H,1,0,H,,11,12,5,6,18,16,7,1,2,3,0,0
2021-08-27,Ad. Demirspor,Konyaspor,1,1,D,0,0,D,,14,9,3,2,13,14,1,3,0,3,0,0
2021-08-28,Buyuksehyr,Kayserispor,0,1,A,0,1,A,,14,5,2,3,16,9,11,2,3,1,0,0
2021-08-28,Yeni Malatyaspor,Gaziantep,2,0,H,1,0,H,,9,20,3,4,5,9,1,6,1,3,0,0
2021-08-28,Besiktas,Karagumruk,1,0,H,1,0,H,,18,10,7,1,12,20,9,1,3,4,1,0
2021-08-28,Hatayspor,Alanyaspor,5,0,H,3,0,H,,16,8,8,1,14,14,3,4,5,1,0,0
2021-08-29,Kasimpasa,Galatasaray,2,2,D,1,2,A,,17,13,5,6,7,10,4,2,2,0,0,0
2021-08-29,Sivasspor,Goztep,2,2,D,1,0,H,,11,8,3,5,14,12,5,7,0,1,1,0
2021-08-29,Altay,Fenerbahce,0,2,A,0,0,D,,9,9,0,5,15,15,3,5,0,1,0,0
2021-08-29,Giresunspor,Trabzonspor,0,1,A,0,1,A,,10,13,3,5,8,13,2,4,1,3,0,0
2021-09-11,Karagumruk,Ad. Demirspor,4,0,H,2,0,H,,16,11,8,2,8,11,6,4,0,2,0,0
2021-09-11,Konyaspor,Altay,3,1,H,2,0,H,,14,15,5,7,14,13,6,7,3,2,0,0
2021-09-11,Besiktas,Yeni Malatyaspor,3,0,H,2,0,H,,16,7,9,2,14,10,9,3,1,0,0,0
2021-09-11,Kayserispor,Kasimpasa,2,0,H,1,0,H,,8,6,4,1,18,11,0,4,3,2,0,0
2021-09-12,Fenerbahce,Sivasspor,1,1,D,1,1,D,,13,7,5,3,9,12,2,2,2,3,0,0
2021-09-12,Rizespor,Hatayspor,0,2,A,0,0,D,,5,20,0,10,12,11,5,3,0,2,0,0
2021-09-12,Goztep,Buyuksehyr,2,1,H,0,1,A,,10,22,5,7,11,8,2,6,4,3,0,0
2021-09-12,Trabzonspor,Galatasaray,2,2,D,1,2,A,,19,15,6,6,9,6,7,3,2,1,0,0
2021-09-13,Alanyaspor,Giresunspor,1,0,H,1,0,H,,9,15,2,6,14,11,7,11,3,4,0,0
2021-09-13,Gaziantep,Antalyaspor,2,0,H,0,0,D,,10,15,2,2,8,9,3,4,5,2,0,0
2021-09-17,Altay,Goztep,2,1,H,0,1,A,,19,10,8,7,12,10,5,3,2,2,0,0
2021-09-17,Yeni Malatyaspor,Karagumruk,3,4,A,3,2,H,,8,12,4,5,13,13,2,5,7,3,1,0
2021-09-18,Sivasspor,Gaziantep,1,1,D,1,0,H,,8,15,3,5,15,7,5,3,3,0,0,0
2021-09-18,Kasimpasa,Trabzonspor,0,1,A,0,0,D,,15,12,3,9,11,9,8,3,3,2,0,0
2021-09-18,Ad. Demirspor,Rizespor,3,1,H,2,0,H,,23,9,7,3,17,13,5,12,2,4,0,0
2021-09-18,Antalyaspor,Besiktas,2,3,A,2,0,H,,11,19,5,7,10,14,7,5,0,2,0,0
2021-09-19,Giresunspor,Konyaspor,0,0,D,0,0,D,,16,9,3,0,12,9,9,0,2,1,0,0
2021-09-19,Galatasaray,Alanyaspor,0,1,A,0,0,D,,17,9,3,3,6,8,13,3,0,5,0,0
2021-09-19,Buyuksehyr,Fenerbahce,2,0,H,1,0,H,,6,14,2,5,9,10,1,6,0,1,0,0
2021-09-19,Hatayspor,Kayserispor,2,1,H,0,1,A,,21,6,5,1,15,11,12,4,4,2,0,0
2021-09-21,Karagumruk,Antalyaspor,0,0,D,0,0,D,,16,12,5,5,12,16,4,3,4,2,0,0
2021-09-21,Rizespor,Altay,1,2,A,0,1,A,,16,11,4,3,12,22,3,4,2,4,0,1
2021-09-21,Besiktas,Ad. Demirspor,3,3,D,2,0,H,,13,12,6,4,14,13,5,6,4,2,1,0
2021-09-21,Yeni Malatyaspor,Sivasspor,0,1,A,0,0,D,,9,11,3,4,7,15,5,6,2,3,0,0
2021-09-22,Gaziantep,Buyuksehyr,1,0,H,1,0,H,,9,15,2,2,7,4,3,15,2,1,0,0
2021-09-22,Goztep,Hatayspor,0,2,A,0,1,A,,13,17,3,5,16,13,9,3,2,3,1,0
2021-09-22,Kayserispor,Galatasaray,3,0,H,2,0,H,,11,19,4,2,12,11,3,9,3,3,0,0
2021-09-23,Konyaspor,Trabzonspor,2,2,D,1,1,D,,31,14,10,5,14,10,9,4,3,1,0,1
2021-09-23,Alanyaspor,Kasimpasa,2,0,H,0,0,D,,14,10,3,3,14,13,6,4,1,4,0,0
2021-09-23,Fenerbahce,Giresunspor,2,1,H,1,0,H,,7,8,4,2,16,13,6,2,2,1,0,0
2021-09-24,Altay,Besiktas,2,1,H,0,0,D,,10,12,3,7,12,8,2,5,0,0,0,0
2021-09-25,Sivasspor,Karagumruk,4,0,H,1,0,H,,17,12,9,4,9,8,6,7,0,2,0,0
2021-09-25,Antalyaspor,Yeni Malatyaspor,1,0,H,0,0,D,,17,9,2,2,12,10,8,2,2,1,0,0
2021-09-25,Ad. Demirspor,Gaziantep,4,0,H,1,0,H,,6,8,4,0,7,12,1,9,1,3,0,0
2021-09-26,Giresunspor,Kayserispor,1,1,D,1,1,D,,21,6,5,2,13,13,7,3,3,2,0,0
2021-09-26,Buyuksehyr,Rizespor,3,0,H,1,0,H,,15,14,8,2,10,9,1,3,0,0,0,0
