Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2023-08-11,Trabzonspor,Antalyaspor,1,0,H,1,0,H,,13,11,5,2,18,11,6,9,0,1,0,0
2023-08-12,Kasimpasa,Ankaragucu,3,2,H,1,0,H,,15,9,5,3,8,15,3,5,1,0,0,0
2023-08-12,Konyaspor,Istanbulspor,1,1,D,0,1,A,,15,4,2,2,13,10,10,2,3,5,1,2
2023-08-12,Kayserispor,Galatasaray,0,0,D,0,0,D,,12,17,3,3,11,6,3,9,2,2,0,0
2023-08-12,Pendikspor,Hatayspor,1,5,A,0,2,A,,6,15,4,9,10,18,4,2,0,1,0,0
2023-08-13,Sivasspor,Samsunspor,1,1,D,1,0,H,,6,11,2,3,11,11,4,5,2,1,0,0
2023-08-13,Ad. Demirspor,Rizespor,2,1,H,1,0,H,,9,13,6,4,15,14,4,5,6,6,0,0
2023-08-13,Fenerbahce,Gaziantep,2,1,H,2,1,H,,21,4,5,1,13,12,3,1,0,6,0,1
2023-08-14,Alanyaspor,Buyuksehyr,2,0,H,1,0,H,,11,8,4,3,15,14,4,5,5,4,0,1
2023-08-14,Karagumruk,Besiktas,0,1,A,0,0,D,,2,9,0,6,13,14,4,4,4,1,0,0
2023-08-18,Antalyaspor,Konyaspor,1,1,D,0,0,D,,14,7,3,3,14,12,5,5,2,2,0,0
2023-08-18,Istanbulspor,Kayserispor,1,1,D,0,0,D,,7,9,3,4,11,11,4,6,1,0,0,0
2023-08-19,Rizespor,Alanyaspor,0,0,D,0,0,D,,10,8,3,2,12,13,3,3,3,3,0,1
2023-08-19,Galatasaray,Trabzonspor,2,0,H,1,0,H,,15,5,5,1,21,3,7,1,4,3,0,0
2023-08-19,Hatayspor,Kasimpasa,0,0,D,0,0,D,,8,11,2,2,7,6,3,1,0,0,0,0
2023-08-20,Buyuksehyr,Karagumruk,0,2,A,0,2,A,,15,9,5,2,11,14,5,4,3,4,0,0
2023-08-20,Besiktas,Pendikspor,1,1,D,1,0,H,,15,11,6,1,11,9,6,4,4,2,0,0
2023-08-20,Gaziantep,Sivasspor,1,3,A,0,2,A,,11,13,2,7,19,16,7,4,6,4,0,0
2023-08-21,Ankaragucu,Ad. Demirspor,1,1,D,1,1,D,,18,12,5,4,9,10,3,4,1,1,0,0
2023-08-21,Samsunspor,Fenerbahce,0,2,A,0,0,D,,5,13,1,6,11,10,2,5,1,1,0,0
2023-08-25,Konyaspor,Gaziantep,2,0,H,0,0,D,,17,8,8,3,9,8,10,2,1,2,0,0
2023-08-26,Kasimpasa,Pendikspor,1,1,D,0,1,A,,7,16,3,6,10,19,9,2,3,2,0,1
2023-08-26,Trabzonspor,Rizespor,2,3,A,0,2,A,,20,12,7,7,10,17,9,2,1,2,0,0
2023-08-26,Sivasspor,Antalyaspor,1,1,D,1,1,D,,6,8,2,4,11,15,3,4,3,3,0,0
2023-08-27,Karagumruk,Ankaragucu,1,1,D,1,0,H,,6,7,2,5,15,12,3,5,1,1,0,0
2023-08-27,Kayserispor,Samsunspor,2,1,H,2,1,H,,11,6,4,1,7,8,3,2,0,0,0,0
2023-08-27,Alanyaspor,Hatayspor,0,0,D,0,0,D,,15,5,5,0,9,17,9,1,4,3,0,0
2023-09-01,Kasimpasa,Trabzonspor,1,5,A,0,3,A,,19,7,6,6,10,16,9,3,3,3,0,0
2023-09-01,Rizespor,Karagumruk,1,0,H,1,0,H,,13,17,4,3,12,17,1,6,3,2,0,0
2023-09-02,Buyuksehyr,Konyaspor,0,1,A,0,0,D,,11,13,2,5,13,13,2,4,4,2,1,0
2023-09-02,Pendikspor,Alanyaspor,1,1,D,0,0,D,,10,8,3,4,9,14,8,4,2,2,0,0
2023-09-02,Antalyaspor,Kayserispor,1,1,D,1,1,D,,20,7,7,3,14,11,9,3,2,3,0,0
2023-09-02,Gaziantep,Galatasaray,0,3,A,0,1,A,,15,15,7,4,12,13,4,7,2,0,0,0
2023-09-03,Besiktas,Sivasspor,2,0,H,2,0,H,,17,5,8,1,17,17,7,2,2,4,0,0
2023-09-03,Ankaragucu,Fenerbahce,0,1,A,0,0,D,,14,14,2,2,15,14,4,2,2,3,0,1
2023-09-03,Hatayspor,Ad. Demirspor,3,3,D,0,1,A,,14,11,7,6,19,9,3,7,6,2,0,0
2023-09-16,Kayserispor,Gaziantep,2,0,H,1,0,H,,10,16,4,5,11,8,3,7,0,1,0,0
2023-09-16,Konyaspor,Rizespor,1,2,A,1,0,H,,6,11,4,2,12,14,2,4,2,1,0,0
2023-09-16,Ad. Demirspor,Pendikspor,3,0,H,2,0,H,,18,15,7,5,8,6,6,6,0,3,0,0
2023-09-16,Galatasaray,Samsunspor,4,2,H,3,0,H,,9,9,5,4,17,15,2,6,1,3,0,0
2023-09-17,Fenerbahce,Antalyaspor,3,2,H,1,1,D,,17,14,10,6,13,11,7,5,3,4,0,0
2023-09-17,Istanbulspor,Buyuksehyr,0,2,A,0,0,D,,5,20,0,8,15,9,0,7,4,0,0,0
2023-09-17,Alanyaspor,Kasimpasa,3,3,D,2,1,H,,13,17,6,3,9,11,5,7,0,0,0,0
2023-09-17,Trabzonspor,Besiktas,3,0,H,2,0,H,,8,7,5,1,15,11,2,7,4,1,0,0
2023-09-18,Karagumruk,Hatayspor,0,0,D,0,0,D,,5,18,2,5,14,9,3,3,3,2,0,0
2023-09-18,Sivasspor,Ankaragucu,1,3,A,1,1,D,,15,15,9,5,7,12,5,3,3,2,1,0
2023-09-22,Gaziantep,Istanbulspor,2,0,H,0,0,D,,13,5,2,0,11,13,8,4,1,5,0,0
2023-09-23,Pendikspor,Karagumruk,1,1,D,1,0,H,,8,10,4,4,13,10,5,4,0,1,0,0
2023-09-23,Rizespor,Sivasspor,1,1,D,1,1,D,,14,14,4,4,12,17,5,4,7,3,0,0
2023-09-23,Antalyaspor,Samsunspor,2,0,H,2,0,H,,7,9,3,1,22,11,1,4,2,1,0,0
2023-09-23,Buyuksehyr,Galatasaray,1,2,A,0,1,A,,6,17,2,4,18,15,2,4,3,2,0,0
2023-09-24,Ankaragucu,Konyaspor,1,1,D,1,1,D,,15,7,1,1,15,8,4,2,1,1,0,0
2023-09-24,Besiktas,Kayserispor,2,1,H,0,0,D,,23,5,10,1,13,10,7,2,1,0,0,0
2023-09-24,Alanyaspor,Fenerbahce,0,1,A,0,1,A,,2,14,1,7,15,14,4,5,2,6,0,0
2023-09-24,Kasimpasa,Ad. Demirspor,2,1,H,1,0,H,,13,19,7,6,21,7,6,11,4,2,0,3
2023-09-25,Hatayspor,Trabzonspor,3,2,H,0,1,A,,9,6,3,3,22,13,9,1,6,2,0,0
