Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2026-08-14,Galatasaray,Corum,2,2,D,0,0,D,,38,8,13,3,11,6,8,1,1,0,0,1
2026-08-15,Kasimpasa,Trabzonspor,1,1,D,0,1,A,,9,13,4,5,17,9,3,10,2,0,0,0
2026-08-15,Konyaspor,Rizespor,0,1,A,0,0,D,,7,14,3,5,12,11,1,7,1,4,0,0
2026-08-15,Gaziantep,Alanyaspor,1,1,D,0,1,A,,13,11,5,2,14,21,0,4,3,3,0,0
2026-08-15,Genclerbirligi,Fenerbahce,2,1,H,1,1,D,,10,27,3,11,7,10,1,12,0,1,0,0
2026-08-16,Buyuksehyr,Kocaelispor,2,0,H,1,0,H,,17,8,5,4,14,14,8,2,2,2,0,0
2026-08-16,Amedspor,Erzurumspor,3,0,H,0,0,D,,13,5,5,1,10,12,4,4,1,0,0,0
2026-08-16,Besiktas,Eyupspor,1,0,H,1,0,H,,19,4,5,1,20,14,8,2,2,3,0,1
2026-08-17,Samsunspor,Goztep,3,3,D,2,1,H,,21,20,3,7,8,13,4,8,1,3,0,0
2026-08-21,Erzurumspor,Galatasaray,0,4,A,0,3,A,,12,10,4,4,11,12,2,2,1,0,0,0
2026-08-22,Corum,Kasimpasa,0,1,A,0,1,A,,16,6,2,1,12,13,7,0,1,3,0,0
2026-08-22,Rizespor,Samsunspor,0,2,A,0,1,A,,28,6,8,3,13,11,10,1,1,1,0,0
2026-08-22,Fenerbahce,Konyaspor,4,2,H,3,1,H,,20,17,9,8,11,10,7,3,0,3,0,0
2026-08-23,Eyupspor,Gaziantep,0,1,A,0,0,D,,12,9,1,2,16,17,4,2,0,1,0,1
2026-08-23,Trabzonspor,Buyuksehyr,2,1,H,1,1,D,,19,12,8,4,13,18,5,1,3,4,0,0
2026-08-23,Alanyaspor,Besiktas,1,0,H,0,0,D,,9,14,3,6,14,14,7,7,0,0,0,0
2026-08-23,Goztep,Genclerbirligi,0,1,A,0,0,D,,16,10,6,2,15,12,6,5,1,2,0,0
2026-08-24,Kocaelispor,Amedspor,2,0,H,1,0,H,,11,12,3,1,9,16,3,7,0,2,0,0
