Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2013-08-16,Antalyaspor,Erciyesspor,0,0,D,0,0,D,,,,,,,,,,,,,
2013-08-17,Karabukspor,Kasimpasa,2,0,H,1,0,H,,,,,,,,,,,,,
2013-08-17,Konyaspor,Fenerbahce,3,2,H,0,2,A,,,,,,,,,,,,,
2013-08-17,Rizespor,Genclerbirligi,1,0,H,1,0,H,,,,,,,,,,,,,
2013-08-18,Akhisar Belediyespor,Elazigspor,3,1,H,1,1,D,,,,,,,,,,,,,
2013-08-18,Besiktas,Trabzonspor,2,0,H,0,0,D,,,,,,,,,,,,,
2013-08-18,Eskisehirspor,Bursaspor,2,0,H,0,0,D,,,,,,,,,,,,,
2013-08-19,Galatasaray,Gaziantepspor,2,1,H,1,0,H,,,,,,,,,,,,,
2013-08-19,Kayserispor,Sivasspor,1,0,H,0,0,D,,,,,,,,,,,,,
2013-08-23,Genclerbirligi,Akhisar Belediyespor,3,0,H,2,0,H,,,,,,,,,,,,,
2013-08-24,Fenerbahce,Eskisehirspor,1,0,H,0,0,D,,,,,,,,,,,,,
2013-08-24,Gaziantepspor,Antalyaspor,0,0,D,0,0,D,,,,,,,,,,,,,
2013-08-24,Kasimpasa,Kayserispor,3,1,H,2,0,H,,,,,,,,,,,,,
2013-08-25,Bursaspor,Galatasaray,1,1,D,0,1,A,,,,,,,,,,,,,
2013-08-25,Elazigspor,Karabukspor,2,2,D,1,1,D,,,,,,,,,,,,,
2013-08-25,Sivasspor,Konyaspor,2,0,H,0,0,D,,,,,,,,,,,,,
2013-08-26,Erciyesspor,Besiktas,2,4,A,2,1,H,,,,,,,,,,,,,
2013-08-26,Trabzonspor,Rizespor,2,1,H,1,1,D,,,,,,,,,,,,,
2013-08-30,Eskisehirspor,Galatasaray,0,0,D,0,0,D,,,,,,,,,,,,,
2013-08-30,Konyaspor,Kasimpasa,1,2,A,1,0,H,,,,,,,,,,,,,
2013-08-31,Antalyaspor,Bursaspor,1,2,A,1,1,D,,,,,,,,,,,,,
2013-08-31,Fenerbahce,Sivasspor,5,2,H,3,0,H,,,,,,,,,,,,,
2013-08-31,Kayserispor,Elazigspor,1,3,A,0,3,A,,,,,,,,,,,,,
