Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2010-08-14,Bucaspor,Besiktas,0,1,A,0,0,D,,,,,,,,,,,,,
2010-08-14,Eskisehirspor,Genclerbirligi,0,0,D,0,0,D,,,,,,,,,,,,,
2010-08-14,Gaziantepspor,Kasimpasa,0,0,D,0,0,D,,,,,,,,,,,,,
2010-08-14,Sivasspor,Galatasaray,2,1,H,1,1,D,,,,,,,,,,,,,
2010-08-15,Ankaragucu,Trabzonspor,0,2,A,0,0,D,,,,,,,,,,,,,
2010-08-15,Fenerbahce,Antalyaspor,4,0,H,4,0,H,,,,,,,,,,,,,
2010-08-15,Karabukspor,Manisaspor,2,1,H,0,0,D,,,,,,,,,,,,,
2010-08-16,Bursaspor,Konyaspor,1,0,H,1,0,H,,,,,,,,,,,,,
2010-08-16,Buyuksehyr,Kayserispor,0,2,A,0,0,D,,,,,,,,,,,,,
2010-08-20,Kayserispor,Karabukspor,1,0,H,1,0,H,,,,,,,,,,,,,
2010-08-20,Konyaspor,Eskisehirspor,2,1,H,1,0,H,,,,,,,,,,,,,
2010-08-21,Antalyaspor,Sivasspor,1,1,D,1,1,D,,,,,,,,,,,,,
2010-08-21,Besiktas,Buyuksehyr,0,2,A,0,0,D,,,,,,,,,,,,,
2010-08-22,Galatasaray,Bursaspor,0,2,A,0,1,A,,,,,,,,,,,,,
2010-08-22,Genclerbirligi,Gaziantepspor,0,0,D,0,0,D,,,,,,,,,,,,,
2010-08-22,Manisaspor,Ankaragucu,0,3,A,0,1,A,,,,,,,,,,,,,
2010-08-23,Kasimpasa,Bucaspor,0,0,D,0,0,D,,,,,,,,,,,,,
2010-08-23,Trabzonspor,Fenerbahce,3,2,H,3,2,H,,,,,,,,,,,,,
2010-08-27,Ankaragucu,Kayserispor,1,1,D,0,1,A,,,,,,,,,,,,,
2010-08-27,Gaziantepspor,Konyaspor,2,2,D,1,1,D,,,,,,,,,,,,,
2010-08-28,Bucaspor,Genclerbirligi,3,1,H,1,0,H,,,,,,,,,,,,,
2010-08-28,Buyuksehyr,Kasimpasa,3,1,H,1,0,H,,,,,,,,,,,,,
2010-08-28,Sivasspor,Bursaspor,0,2,A,0,0,D,,,,,,,,,,,,,
2010-08-29,Eskisehirspor,Galatasaray,1,3,A,1,1,D,,,,,,,,,,,,,
2010-08-29,Fenerbahce,Manisaspor,4,2,H,1,0,H,,,,,,,,,,,,,
2010-08-29,Karabukspor,Besiktas,1,4,A,1,2,A,,,,,,,,,,,,,
2010-08-30,Antalyaspor,Trabzonspor,0,0,D,0,0,D,,,,,,,,,,,,,
2010-09-10,Bursaspor,Eskisehirspor,2,1,H,0,1,A,,,,,,,,,,,,,
2010-09-11,Besiktas,Ankaragucu,4,0,H,1,0,H,,,,,,,,,,,,,
