Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2024-08-09,Galatasaray,Hatayspor,2,1,H,0,0,D,,29,10,11,4,13,17,12,2,0,3,0,0
2024-08-10,Kasimpasa,Konyaspor,2,3,A,0,1,A,,4,6,3,3,6,7,2,7,5,3,0,0
2024-08-10,Antalyaspor,Goztep,0,0,D,0,0,D,,10,10,3,2,9,24,4,6,2,1,0,0
2024-08-10,Fenerbahce,Ad. Demirspor,1,0,H,1,0,H,,8,6,5,1,17,13,9,4,3,2,0,0
2024-08-11,Sivasspor,Trabzonspor,0,0,D,0,0,D,,15,17,5,2,14,12,5,7,1,0,0,0
2024-08-11,Alanyaspor,Eyupspor,1,1,D,0,0,D,,17,6,9,3,6,14,6,1,1,1,0,0
2024-08-11,Samsunspor,Besiktas,0,2,A,0,2,A,,7,10,4,2,12,10,6,2,2,1,0,0
2024-08-12,Bodrumspor,Gaziantep,0,1,A,0,0,D,,18,6,3,1,15,9,4,1,2,2,0,1
2024-08-12,Rizespor,Buyuksehyr,1,1,D,1,1,D,,27,6,6,1,16,16,12,1,0,2,0,0
2024-08-16,Konyaspor,Galatasaray,1,2,A,1,1,D,,17,7,3,3,4,20,5,8,1,1,0,0
2024-08-17,Kayserispor,Sivasspor,1,2,A,1,1,D,,22,9,8,4,14,15,5,4,1,3,0,1
2024-08-17,Ad. Demirspor,Rizespor,1,2,A,0,1,A,,12,10,5,5,15,18,1,6,2,0,0,0
2024-08-17,Goztep,Fenerbahce,2,2,D,0,2,A,,16,13,8,5,22,14,5,5,3,3,0,0
2024-08-18,Buyuksehyr,Alanyaspor,4,2,H,1,2,A,,12,13,8,3,19,11,4,4,4,3,0,0
2024-08-18,Besiktas,Antalyaspor,4,2,H,2,1,H,,17,7,9,3,18,15,3,0,4,1,0,1
2024-08-18,Gaziantep,Samsunspor,0,1,A,0,1,A,,20,14,8,4,9,14,6,3,3,3,0,0
2024-08-19,Eyupspor,Bodrumspor,4,1,H,0,1,A,,16,15,9,5,8,13,3,4,1,1,0,0
2024-08-19,Hatayspor,Kasimpasa,1,1,D,1,0,H,,9,14,1,6,8,10,3,7,2,1,0,0
2024-08-23,Alanyaspor,Goztep,1,1,D,0,1,A,,11,10,3,3,6,23,8,2,1,4,0,0
2024-08-24,Sivasspor,Eyupspor,0,1,A,0,1,A,,7,6,3,3,8,8,4,4,2,3,0,0
2024-08-24,Bodrumspor,Konyaspor,3,1,H,2,1,H,,8,3,5,2,6,8,5,5,2,2,0,0
2024-08-25,Kasimpasa,Ad. Demirspor,2,2,D,1,0,H,,15,10,6,3,10,10,8,4,1,0,0,0
2024-08-25,Antalyaspor,Hatayspor,3,2,H,0,2,A,,11,9,7,5,14,16,10,2,4,6,0,1
2024-08-25,Rizespor,Fenerbahce,0,5,A,0,1,A,,10,18,4,9,8,16,1,6,3,2,0,0
2024-08-30,Fenerbahce,Alanyaspor,3,0,H,1,0,H,,18,8,7,1,12,11,2,1,1,4,0,0
2024-08-31,Konyaspor,Kayserispor,0,0,D,0,0,D,,9,10,1,3,8,15,6,5,1,1,0,0
2024-08-31,Rizespor,Kasimpasa,0,1,A,0,1,A,,13,6,4,3,11,13,10,3,0,0,0,0
2024-08-31,Ad. Demirspor,Galatasaray,1,5,A,0,4,A,,15,19,5,8,10,6,2,2,3,0,1,0
2024-08-31,Goztep,Bodrumspor,2,0,H,2,0,H,,11,10,4,1,13,5,6,2,4,1,0,0
2024-09-01,Buyuksehyr,Antalyaspor,5,2,H,1,2,A,,14,10,8,3,17,14,3,5,1,2,0,0
2024-09-01,Eyupspor,Trabzonspor,0,0,D,0,0,D,,13,7,6,3,6,10,3,4,3,0,0,0
2024-09-01,Besiktas,Sivasspor,2,0,H,1,0,H,,12,7,8,1,15,9,5,5,4,5,0,0
2024-09-01,Hatayspor,Samsunspor,0,3,A,0,1,A,,5,14,1,7,7,12,2,4,0,2,0,0
2024-09-14,Samsunspor,Konyaspor,0,1,A,0,1,A,,12,6,2,3,11,14,12,1,0,2,0,0
2024-09-14,Sivasspor,Gaziantep,3,2,H,1,1,D,,16,14,4,5,15,15,3,5,5,6,1,0
2024-09-14,Bodrumspor,Buyuksehyr,0,1,A,0,0,D,,7,11,3,5,23,13,5,7,0,0,0,0
2024-09-14,Galatasaray,Rizespor,5,0,H,2,0,H,,23,2,9,1,15,11,6,1,0,0,0,0
2024-09-15,Kasimpasa,Fenerbahce,0,2,A,0,2,A,,13,6,3,2,11,15,6,5,3,1,0,0
2024-09-15,Kayserispor,Eyupspor,2,2,D,0,2,A,,10,10,6,5,11,10,6,8,4,2,0,0
2024-09-15,Alanyaspor,Hatayspor,0,0,D,0,0,D,,8,9,2,2,11,15,5,4,3,1,0,0
2024-09-15,Trabzonspor,Besiktas,1,1,D,1,1,D,,5,14,1,4,14,8,1,13,2,3,1,0
2024-09-16,Antalyaspor,Ad. Demirspor,2,1,H,0,0,D,,12,16,5,9,9,9,8,4,1,2,0,0
2024-09-17,Galatasaray,Gaziantep,3,1,H,2,0,H,,25,6,7,4,11,6,11,4,1,1,0,0
2024-09-18,Samsunspor,Buyuksehyr,2,0,H,0,0,D,,13,15,6,6,12,11,4,2,5,2,0,0
2024-09-19,Trabzonspor,Kayserispor,2,2,D,0,1,A,,21,10,8,3,3,12,8,3,0,6,0,1
2024-09-20,Hatayspor,Bodrumspor,0,1,A,0,1,A,,13,8,2,1,11,13,9,7,2,6,0,0
2024-09-21,Konyaspor,Sivasspor,0,0,D,0,0,D,,14,9,5,5,16,13,7,4,5,4,0,0
2024-09-21,Fenerbahce,Galatasaray,1,3,A,0,2,A,,27,14,12,8,13,23,10,2,3,6,0,0
2024-09-22,Kasimpasa,Antalyaspor,0,0,D,0,0,D,,13,4,3,2,18,18,3,1,1,6,1,0
2024-09-22,Rizespor,Samsunspor,0,1,A,0,0,D,,13,9,2,2,13,11,3,0,2,2,0,0
2024-09-22,Ad. Demirspor,Alanyaspor,0,2,A,0,2,A,,8,12,1,5,9,10,6,6,1,3,0,0
2024-09-22,Besiktas,Eyupspor,2,1,H,1,0,H,,16,10,6,3,11,14,8,4,1,4,0,0
2024-09-23,Gaziantep,Trabzonspor,0,0,D,0,0,D,,12,10,4,3,15,12,9,2,5,4,0,0
2024-09-23,Goztep,Kayserispor,3,0,H,2,0,H,,18,8,8,3,14,10,6,4,2,2,0,0
2024-09-27,Sivasspor,Buyuksehyr,1,2,A,0,1,A,,10,13,3,4,12,11,2,3,1,4,0,0
2024-09-28,Samsunspor,Goztep,4,3,H,1,2,A,,22,9,11,4,6,9,6,3,0,2,0,0
2024-09-28,Alanyaspor,Rizespor,1,0,H,1,0,H,,7,7,2,2,10,13,7,2,3,3,0,0
2024-09-28,Galatasaray,Kasimpasa,3,3,D,3,1,H,,5,10,3,6,11,7,2,4,2,3,0,0
2024-09-29,Eyupspor,Gaziantep,3,2,H,1,1,D,,11,11,5,4,13,8,5,5,1,4,0,0
2024-09-29,Trabzonspor,Konyaspor,3,2,H,2,1,H,,11,9,4,4,11,7,4,2,4,1,0,0
2024-09-29,Antalyaspor,Fenerbahce,0,2,A,0,0,D,,10,14,1,6,10,13,2,5,1,1,0,0
2024-09-29,Bodrumspor,Ad. Demirspor,3,1,H,1,0,H,,14,8,6,3,12,12,7,6,3,5,0,0
2024-09-30,Kayserispor,Besiktas,0,3,A,0,0,D,,10,9,4,5,12,11,7,3,4,3,0,0
2024-10-04,Rizespor,Antalyaspor,2,1,H,2,0,H,,7,16,2,3,13,10,3,3,6,2,0,0
2024-10-05,Kasimpasa,Bodrumspor,0,0,D,0,0,D,,20,4,5,1,9,15,5,0,0,4,0,1
2024-10-05,Goztep,Sivasspor,3,2,H,2,0,H,,12,10,4,6,17,6,4,4,3,2,0,0
2024-10-05,Buyuksehyr,Kayserispor,1,1,D,0,1,A,,16,11,8,4,12,17,3,3,1,1,0,0
2024-10-05,Hatayspor,Trabzonspor,1,1,D,1,0,H,,13,15,6,7,14,14,4,7,4,6,0,0
