Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2004-08-06,Rizespor,Fenerbahce,2,2,D,0,2,A,,,,,,,,,,,,,
2004-08-07,Denizlispor,Gaziantepspor,2,1,H,1,0,H,,,,,,,,,,,,,
2004-08-07,Genclerbirligi,Sakaryaspor,1,0,H,1,0,H,,,,,,,,,,,,,
2004-08-07,Kayserispor,Trabzonspor,0,3,A,0,1,A,,,,,,,,,,,,,
2004-08-07,Malatyaspor,Besiktas,1,1,D,1,0,H,,,,,,,,,,,,,
2004-08-08,A. Sebatspor,Ankaraspor,1,3,A,0,1,A,,,,,,,,,,,,,
2004-08-08,Galatasaray,Konyaspor,3,1,H,2,1,H,,,,,,,,,,,,,
2004-08-08,Istanbulspor,Diyarbakirspor,1,1,D,0,0,D,,,,,,,,,,,,,
2004-08-08,Samsunspor,Ankaragucu,1,1,D,0,1,A,,,,,,,,,,,,,
2004-08-13,Gaziantepspor,Galatasaray,1,0,H,0,0,D,,,,,,,,,,,,,
2004-08-14,Ankaragucu,Istanbulspor,0,0,D,0,0,D,,,,,,,,,,,,,
2004-08-14,Ankaraspor,Malatyaspor,1,3,A,1,2,A,,,,,,,,,,,,,
2004-08-14,Diyarbakirspor,Kayserispor,2,1,H,1,0,H,,,,,,,,,,,,,
2004-08-14,Fenerbahce,Samsunspor,2,1,H,0,0,D,,,,,,,,,,,,,
2004-08-15,Genclerbirligi,Besiktas,1,1,D,0,0,D,,,,,,,,,,,,,
2004-08-15,Konyaspor,Rizespor,0,0,D,0,0,D,,,,,,,,,,,,,
2004-08-15,Sakaryaspor,Denizlispor,1,2,A,1,1,D,,,,,,,,,,,,,
2004-08-15,Trabzonspor,A. Sebatspor,3,1,H,1,0,H,,,,,,,,,,,,,
2004-08-21,Denizlispor,Besiktas,3,1,H,1,0,H,,,,,,,,,,,,,
2004-08-21,Genclerbirligi,Ankaraspor,1,1,D,0,1,A,,,,,,,,,,,,,
2004-08-21,Istanbulspor,Fenerbahce,0,3,A,0,0,D,,,,,,,,,,,,,
2004-08-21,Malatyaspor,Trabzonspor,3,4,A,1,2,A,,,,,,,,,,,,,
2004-08-21,Samsunspor,Konyaspor,1,1,D,1,0,H,,,,,,,,,,,,,
2004-08-22,A. Sebatspor,Diyarbakirspor,2,2,D,2,2,D,,,,,,,,,,,,,
2004-08-22,Galatasaray,Rizespor,2,1,H,2,1,H,,,,,,,,,,,,,
2004-08-22,Gaziantepspor,Sakaryaspor,1,0,H,0,0,D,,,,,,,,,,,,,
2004-08-22,Kayserispor,Ankaragucu,1,1,D,1,0,H,,,,,,,,,,,,,
2004-08-28,Ankaraspor,Denizlispor,3,2,H,1,1,D,,,,,,,,,,,,,
2004-08-28,Kayserispor,Fenerbahce,0,2,A,0,1,A,,,,,,,,,,,,,
2004-08-28,Konyaspor,Istanbulspor,2,1,H,0,0,D,,,,,,,,,,,,,
2004-08-28,Rizespor,Samsunspor,2,0,H,2,0,H,,,,,,,,,,,,,
2004-08-28,Sakaryaspor,Galatasaray,1,2,A,1,1,D,,,,,,,,,,,,,
2004-08-29,Ankaragucu,A. Sebatspor,2,1,H,1,1,D,,,,,,,,,,,,,
2004-08-29,Besiktas,Gaziantepspor,3,4,A,0,2,A,,,,,,,,,,,,,
2004-08-29,Diyarbakirspor,Malatyaspor,1,2,A,0,1,A,,,,,,,,,,,,,
2004-08-29,Trabzonspor,Genclerbirligi,3,1,H,2,0,H,,,,,,,,,,,,,
2004-09-11,A. Sebatspor,Fenerbahce,1,4,A,0,1,A,,,,,,,,,,,,,
2004-09-11,Denizlispor,Trabzonspor,0,2,A,0,0,D,,,,,,,,,,,,,
2004-09-11,Gaziantepspor,Ankaraspor,2,1,H,0,0,D,,,,,,,,,,,,,
2004-09-11,Genclerbirligi,Diyarbakirspor,2,0,H,0,0,D,,,,,,,,,,,,,
2004-09-12,Galatasaray,Samsunspor,3,1,H,0,1,A,,,,,,,,,,,,,
2004-09-12,Istanbulspor,Rizespor,0,3,A,0,0,D,,,,,,,,,,,,,
2004-09-12,Kayserispor,Konyaspor,2,2,D,1,0,H,,,,,,,,,,,,,
2004-09-12,Malatyaspor,Ankaragucu,1,0,H,0,0,D,,,,,,,,,,,,,
2004-09-12,Sakaryaspor,Besiktas,1,4,A,0,1,A,,,,,,,,,,,,,
2004-09-17,Diyarbakirspor,Denizlispor,0,1,A,0,0,D,,,,,,,,,,,,,
2004-09-18,Ankaraspor,Sakaryaspor,1,1,D,1,0,H,,,,,,,,,,,,,
2004-09-18,Fenerbahce,Malatyaspor,3,1,H,1,1,D,,,,,,,,,,,,,
2004-09-18,Konyaspor,A. Sebatspor,3,3,D,1,2,A,,,,,,,,,,,,,
2004-09-18,Samsunspor,Istanbulspor,2,1,H,1,0,H,,,,,,,,,,,,,
2004-09-19,Ankaragucu,Genclerbirligi,1,0,H,1,0,H,,,,,,,,,,,,,
2004-09-19,Besiktas,Galatasaray,0,0,D,0,0,D,,,,,,,,,,,,,
2004-09-19,Rizespor,Kayserispor,2,1,H,1,1,D,,,,,,,,,,,,,
2004-09-19,Trabzonspor,Gaziantepspor,0,0,D,0,0,D,,,,,,,,,,,,,
2004-09-24,Genclerbirligi,Fenerbahce,1,2,A,0,0,D,,,,,,,,,,,,,
2004-09-25,A. Sebatspor,Rizespor,0,0,D,0,0,D,,,,,,,,,,,,,
2004-09-25,Besiktas,Ankaraspor,2,3,A,0,1,A,,,,,,,,,,,,,
2004-09-25,Kayserispor,Samsunspor,1,4,A,0,1,A,,,,,,,,,,,,,
2004-09-25,Sakaryaspor,Trabzonspor,1,3,A,1,1,D,,,,,,,,,,,,,
2004-09-26,Denizlispor,Ankaragucu,2,0,H,0,0,D,,,,,,,,,,,,,
2004-09-26,Galatasaray,Istanbulspor,4,1,H,1,0,H,,,,,,,,,,,,,
2004-09-26,Gaziantepspor,Diyarbakirspor,1,1,D,0,0,D,,,,,,,,,,,,,
2004-09-26,Malatyaspor,Konyaspor,5,0,H,4,0,H,,,,,,,,,,,,,
2004-10-01,Ankaraspor,Galatasaray,0,2,A,0,1,A,,,,,,,,,,,,,
2004-10-02,Ankaragucu,Gaziantepspor,2,1,H,1,1,D,,,,,,,,,,,,,
2004-10-02,Diyarbakirspor,Sakaryaspor,1,0,H,0,0,D,,,,,,,,,,,,,
2004-10-02,Fenerbahce,Denizlispor,2,0,H,0,0,D,,,,,,,,,,,,,
2004-10-02,Rizespor,Malatyaspor,0,1,A,0,1,A,,,,,,,,,,,,,
2004-10-03,Istanbulspor,Kayserispor,2,0,H,0,0,D,,,,,,,,,,,,,
2004-10-03,Konyaspor,Genclerbirligi,3,2,H,1,1,D,,,,,,,,,,,,,
2004-10-03,Samsunspor,A. Sebatspor,3,0,H,1,0,H,,,,,,,,,,,,,
2004-10-03,Trabzonspor,Besiktas,1,0,H,1,0,H,,,,,,,,,,,,,
2004-10-16,Besiktas,Diyarbakirspor,4,0,H,2,0,H,,,,,,,,,,,,,
2004-10-16,Gaziantepspor,Fenerbahce,0,1,A,0,0,D,,,,,,,,,,,,,
2004-10-16,Genclerbirligi,Rizespor,2,1,H,2,0,H,,,,,,,,,,,,,
2004-10-16,Sakaryaspor,Ankaragucu,1,0,H,1,0,H,,,,,,,,,,,,,
2004-10-17,A. Sebatspor,Istanbulspor,2,2,D,1,2,A,,,,,,,,,,,,,
2004-10-17,Ankaraspor,Trabzonspor,1,1,D,0,0,D,,,,,,,,,,,,,
2004-10-17,Denizlispor,Konyaspor,2,1,H,1,0,H,,,,,,,,,,,,,
2004-10-17,Galatasaray,Kayserispor,5,1,H,2,0,H,,,,,,,,,,,,,
2004-10-17,Malatyaspor,Samsunspor,1,2,A,0,1,A,,,,,,,,,,,,,
2004-10-23,Istanbulspor,Malatyaspor,0,2,A,0,0,D,,,,,,,,,,,,,
2004-10-23,Konyaspor,Gaziantepspor,2,2,D,1,1,D,,,,,,,,,,,,,
2004-10-23,Samsunspor,Genclerbirligi,2,0,H,1,0,H,,,,,,,,,,,,,
2004-10-23,Trabzonspor,Galatasaray,0,1,A,0,0,D,,,,,,,,,,,,,
2004-10-24,Ankaragucu,Besiktas,1,4,A,1,2,A,,,,,,,,,,,,,
2004-10-24,Diyarbakirspor,Ankaraspor,1,0,H,0,0,D,,,,,,,,,,,,,
2004-10-24,Fenerbahce,Sakaryaspor,6,0,H,3,0,H,,,,,,,,,,,,,
2004-10-24,Kayserispor,A. Sebatspor,4,1,H,3,0,H,,,,,,,,,,,,,
2004-10-24,Rizespor,Denizlispor,2,0,H,1,0,H,,,,,,,,,,,,,
2004-10-29,Trabzonspor,Diyarbakirspor,4,1,H,2,0,H,,,,,,,,,,,,,
2004-10-30,Besiktas,Fenerbahce,2,1,H,0,0,D,,,,,,,,,,,,,
2004-10-30,Denizlispor,Samsunspor,2,0,H,2,0,H,,,,,,,,,,,,,
2004-10-30,Gaziantepspor,Rizespor,0,1,A,0,1,A,,,,,,,,,,,,,
2004-10-30,Genclerbirligi,Istanbulspor,1,0,H,1,0,H,,,,,,,,,,,,,
2004-10-31,Ankaraspor,Ankaragucu,2,0,H,1,0,H,,,,,,,,,,,,,
2004-10-31,Galatasaray,A. Sebatspor,2,0,H,0,0,D,,,,,,,,,,,,,
2004-10-31,Malatyaspor,Kayserispor,0,1,A,0,1,A,,,,,,,,,,,,,
2004-10-31,Sakaryaspor,Konyaspor,1,4,A,1,2,A,,,,,,,,,,,,,
2004-11-05,Diyarbakirspor,Galatasaray,2,0,H,1,0,H,,,,,,,,,,,,,
2004-11-06,A. Sebatspor,Malatyaspor,1,1,D,0,0,D,,,,,,,,,,,,,
2004-11-06,Fenerbahce,Ankaraspor,1,0,H,1,0,H,,,,,,,,,,,,,
2004-11-06,Istanbulspor,Denizlispor,1,1,D,1,1,D,,,,,,,,,,,,,
2004-11-06,Samsunspor,Gaziantepspor,1,3,A,0,2,A,,,,,,,,,,,,,
2004-11-07,Ankaragucu,Trabzonspor,0,2,A,0,1,A,,,,,,,,,,,,,
2004-11-07,Kayserispor,Genclerbirligi,1,2,A,1,1,D,,,,,,,,,,,,,
2004-11-07,Konyaspor,Besiktas,2,2,D,0,1,A,,,,,,,,,,,,,
2004-11-07,Rizespor,Sakaryaspor,2,0,H,1,0,H,,,,,,,,,,,,,
2004-11-20,Ankaraspor,Konyaspor,1,3,A,0,0,D,,,,,,,,,,,,,
2004-11-20,Galatasaray,Malatyaspor,1,1,D,0,1,A,,,,,,,,,,,,,
2004-11-20,Sakaryaspor,Samsunspor,4,2,H,3,0,H,,,,,,,,,,,,,
2004-11-20,Trabzonspor,Fenerbahce,0,2,A,0,1,A,,,,,,,,,,,,,
2004-11-21,Besiktas,Rizespor,2,2,D,0,1,A,,,,,,,,,,,,,
2004-11-21,Denizlispor,Kayserispor,2,1,H,0,0,D,,,,,,,,,,,,,
2004-11-21,Diyarbakirspor,Ankaragucu,0,1,A,0,1,A,,,,,,,,,,,,,
2004-11-21,Gaziantepspor,Istanbulspor,0,1,A,0,0,D,,,,,,,,,,,,,
2004-11-21,Genclerbirligi,A. Sebatspor,1,1,D,1,0,H,,,,,,,,,,,,,
2004-11-26,Ankaragucu,Galatasaray,0,1,A,0,1,A,,,,,,,,,,,,,
2004-11-27,Fenerbahce,Diyarbakirspor,3,0,H,2,0,H,,,,,,,,,,,,,
2004-11-27,Kayserispor,Gaziantepspor,3,1,H,0,0,D,,,,,,,,,,,,,
2004-11-27,Konyaspor,Trabzonspor,1,1,D,0,1,A,,,,,,,,,,,,,
2004-11-27,Rizespor,Ankaraspor,2,1,H,0,1,A,,,,,,,,,,,,,
2004-11-28,A. Sebatspor,Denizlispor,2,1,H,1,0,H,,,,,,,,,,,,,
2004-11-28,Istanbulspor,Sakaryaspor,3,0,H,1,0,H,,,,,,,,,,,,,
2004-11-28,Malatyaspor,Genclerbirligi,0,2,A,0,1,A,,,,,,,,,,,,,
2004-11-28,Samsunspor,Besiktas,2,4,A,0,0,D,,,,,,,,,,,,,
2004-12-03,Fenerbahce,Ankaragucu,5,0,H,1,0,H,,,,,,,,,,,,,
2004-12-04,Denizlispor,Malatyaspor,0,0,D,0,0,D,,,,,,,,,,,,,
2004-12-04,Diyarbakirspor,Konyaspor,3,3,D,1,0,H,,,,,,,,,,,,,
2004-12-04,Genclerbirligi,Galatasaray,1,3,A,0,1,A,,,,,,,,,,,,,
2004-12-04,Trabzonspor,Rizespor,1,0,H,1,0,H,,,,,,,,,,,,,
2004-12-05,Ankaraspor,Samsunspor,0,1,A,0,1,A,,,,,,,,,,,,,
2004-12-05,Besiktas,Istanbulspor,2,1,H,1,1,D,,,,,,,,,,,,,
2004-12-05,Gaziantepspor,A. Sebatspor,6,4,H,3,2,H,,,,,,,,,,,,,
2004-12-05,Sakaryaspor,Kayserispor,4,2,H,3,1,H,,,,,,,,,,,,,
2004-12-10,Kayserispor,Besiktas,1,2,A,1,0,H,,,,,,,,,,,,,
2004-12-11,A. Sebatspor,Sakaryaspor,0,1,A,0,0,D,,,,,,,,,,,,,
2004-12-11,Istanbulspor,Ankaraspor,1,1,D,1,0,H,,,,,,,,,,,,,
2004-12-11,Malatyaspor,Gaziantepspor,2,1,H,0,0,D,,,,,,,,,,,,,
2004-12-11,Samsunspor,Trabzonspor,0,4,A,0,1,A,,,,,,,,,,,,,
2004-12-12,Galatasaray,Fenerbahce,1,0,H,0,0,D,,,,,,,,,,,,,
2004-12-12,Genclerbirligi,Denizlispor,1,3,A,1,2,A,,,,,,,,,,,,,
2004-12-12,Konyaspor,Ankaragucu,3,4,A,1,1,D,,,,,,,,,,,,,
2004-12-12,Rizespor,Diyarbakirspor,3,0,H,1,0,H,,,,,,,,,,,,,
2004-12-17,Denizlispor,Galatasaray,0,0,D,0,0,D,,,,,,,,,,,,,
2004-12-18,Ankaragucu,Rizespor,0,0,D,0,0,D,,,,,,,,,,,,,
2004-12-18,Fenerbahce,Konyaspor,3,0,H,1,0,H,,,,,,,,,,,,,
2004-12-18,Gaziantepspor,Genclerbirligi,1,0,H,1,0,H,,,,,,,,,,,,,
2004-12-18,Trabzonspor,Istanbulspor,1,1,D,1,0,H,,,,,,,,,,,,,
2004-12-19,Ankaraspor,Kayserispor,4,1,H,1,0,H,,,,,,,,,,,,,
2004-12-19,Besiktas,A. Sebatspor,6,1,H,2,0,H,,,,,,,,,,,,,
2004-12-19,Diyarbakirspor,Samsunspor,3,0,H,1,0,H,,,,,,,,,,,,,
2004-12-19,Sakaryaspor,Malatyaspor,4,1,H,0,0,D,,,,,,,,,,,,,
2005-01-28,Konyaspor,Galatasaray,0,2,A,0,2,A,,,,,,,,,,,,,
2005-01-29,Ankaraspor,A. Sebatspor,2,1,H,1,0,H,,,,,,,,,,,,,
2005-01-29,Besiktas,Malatyaspor,1,0,H,0,0,D,,,,,,,,,,,,,
