Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
1997-08-03,Ankaragucu,Galatasaray,0,0,D,,,,,,,,,,,,,,,,
1997-08-03,Besiktas,Sekerspor,2,1,H,,,,,,,,,,,,,,,,
1997-08-03,Bursaspor,Altay,1,0,H,,,,,,,,,,,,,,,,
1997-08-03,Dardanelspor,Istanbulspor,1,1,D,,,,,,,,,,,,,,,,
1997-08-03,Fenerbahce,Gaziantepspor,1,0,H,,,,,,,,,,,,,,,,
1997-08-03,Genclerbirligi,Antalyaspor,0,0,D,,,,,,,,,,,,,,,,
1997-08-03,Karabukspor,Kayseri,3,0,H,,,,,,,,,,,,,,,,
1997-08-03,Kocaelispor,Trabzonspor,1,3,A,,,,,,,,,,,,,,,,
1997-08-03,Samsunspor,Vanspor,2,0,H,,,,,,,,,,,,,,,,
1997-08-10,Altay,Kocaelispor,1,0,H,,,,,,,,,,,,,,,,
1997-08-10,Galatasaray,Bursaspor,4,0,H,,,,,,,,,,,,,,,,
1997-08-10,Gaziantepspor,Antalyaspor,1,3,A,,,,,,,,,,,,,,,,
1997-08-10,Genclerbirligi,Besiktas,2,2,D,,,,,,,,,,,,,,,,
1997-08-10,Istanbulspor,Karabukspor,2,1,H,,,,,,,,,,,,,,,,
1997-08-10,Kayseri,Ankaragucu,1,1,D,,,,,,,,,,,,,,,,
1997-08-10,Samsunspor,Fenerbahce,0,2,A,,,,,,,,,,,,,,,,
1997-08-10,Sekerspor,Dardanelspor,1,4,A,,,,,,,,,,,,,,,,
1997-08-10,Trabzonspor,Vanspor,2,0,H,,,,,,,,,,,,,,,,
1997-08-24,Altay,Vanspor,3,2,H,,,,,,,,,,,,,,,,
1997-08-24,Ankaragucu,Istanbulspor,0,5,A,,,,,,,,,,,,,,,,
1997-08-24,Besiktas,Gaziantepspor,2,1,H,,,,,,,,,,,,,,,,
1997-08-24,Bursaspor,Kayseri,1,0,H,,,,,,,,,,,,,,,,
1997-08-24,Dardanelspor,Karabukspor,1,1,D,,,,,,,,,,,,,,,,
1997-08-24,Fenerbahce,Trabzonspor,1,3,A,,,,,,,,,,,,,,,,
1997-08-24,Kocaelispor,Galatasaray,1,1,D,,,,,,,,,,,,,,,,
1997-08-24,Samsunspor,Antalyaspor,2,2,D,,,,,,,,,,,,,,,,
1997-08-24,Sekerspor,Genclerbirligi,0,0,D,,,,,,,,,,,,,,,,
1997-08-31,Altay,Fenerbahce,0,2,A,,,,,,,,,,,,,,,,
1997-08-31,Galatasaray,Vanspor,6,2,H,,,,,,,,,,,,,,,,
1997-08-31,Gaziantepspor,Sekerspor,1,1,D,,,,,,,,,,,,,,,,
1997-08-31,Genclerbirligi,Dardanelspor,3,0,H,,,,,,,,,,,,,,,,
1997-08-31,Istanbulspor,Bursaspor,1,1,D,,,,,,,,,,,,,,,,
1997-08-31,Karabukspor,Ankaragucu,1,0,H,,,,,,,,,,,,,,,,
1997-08-31,Kayseri,Kocaelispor,2,1,H,,,,,,,,,,,,,,,,
1997-08-31,Samsunspor,Besiktas,0,0,D,,,,,,,,,,,,,,,,
1997-08-31,Trabzonspor,Antalyaspor,2,2,D,,,,,,,,,,,,,,,,
1997-09-07,Altay,Antalyaspor,0,3,A,,,,,,,,,,,,,,,,
1997-09-07,Besiktas,Trabzonspor,3,0,H,,,,,,,,,,,,,,,,
1997-09-07,Bursaspor,Karabukspor,4,0,H,,,,,,,,,,,,,,,,
1997-09-07,Dardanelspor,Ankaragucu,1,1,D,,,,,,,,,,,,,,,,
1997-09-07,Fenerbahce,Galatasaray,3,1,H,,,,,,,,,,,,,,,,
1997-09-07,Genclerbirligi,Gaziantepspor,0,1,A,,,,,,,,,,,,,,,,
1997-09-07,Kayseri,Vanspor,1,1,D,,,,,,,,,,,,,,,,
1997-09-07,Kocaelispor,Istanbulspor,3,0,H,,,,,,,,,,,,,,,,
1997-09-07,Sekerspor,Samsunspor,2,1,H,,,,,,,,,,,,,,,,
1997-09-14,Altay,Besiktas,1,2,A,,,,,,,,,,,,,,,,
1997-09-14,Ankaragucu,Bursaspor,1,2,A,,,,,,,,,,,,,,,,
1997-09-14,Galatasaray,Antalyaspor,2,1,H,,,,,,,,,,,,,,,,
1997-09-14,Gaziantepspor,Dardanelspor,2,2,D,,,,,,,,,,,,,,,,
1997-09-14,Istanbulspor,Vanspor,6,3,H,,,,,,,,,,,,,,,,
1997-09-14,Karabukspor,Kocaelispor,1,0,H,,,,,,,,,,,,,,,,
1997-09-14,Kayseri,Fenerbahce,0,3,A,,,,,,,,,,,,,,,,
1997-09-14,Samsunspor,Genclerbirligi,3,1,H,,,,,,,,,,,,,,,,
1997-09-14,Trabzonspor,Sekerspor,6,3,H,,,,,,,,,,,,,,,,
1997-09-21,Fenerbahce,Istanbulspor,3,0,H,,,,,,,,,,,,,,,,
1997-09-21,Genclerbirligi,Trabzonspor,0,1,A,,,,,,,,,,,,,,,,
1997-09-21,Sekerspor,Altay,0,0,D,,,,,,,,,,,,,,,,
1997-09-22,Besiktas,Galatasaray,2,1,H,,,,,,,,,,,,,,,,
1997-09-22,Dardanelspor,Bursaspor,0,0,D,,,,,,,,,,,,,,,,
1997-09-22,Gaziantepspor,Samsunspor,2,0,H,,,,,,,,,,,,,,,,
1997-09-22,Kayseri,Antalyaspor,3,1,H,,,,,,,,,,,,,,,,
1997-09-22,Kocaelispor,Ankaragucu,2,0,H,,,,,,,,,,,,,,,,
1997-09-22,Vanspor,Karabukspor,0,1,A,,,,,,,,,,,,,,,,
1997-09-28,Altay,Genclerbirligi,0,0,D,,,,,,,,,,,,,,,,
1997-09-28,Ankaragucu,Vanspor,2,0,H,,,,,,,,,,,,,,,,
1997-09-28,Bursaspor,Kocaelispor,1,2,A,,,,,,,,,,,,,,,,
1997-09-28,Galatasaray,Sekerspor,4,1,H,,,,,,,,,,,,,,,,
1997-09-28,Istanbulspor,Antalyaspor,5,2,H,,,,,,,,,,,,,,,,
1997-09-28,Karabukspor,Fenerbahce,1,2,A,,,,,,,,,,,,,,,,
1997-09-28,Kayseri,Besiktas,1,0,H,,,,,,,,,,,,,,,,
1997-09-28,Samsunspor,Dardanelspor,3,0,H,,,,,,,,,,,,,,,,
