Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2009-08-07,Buyuksehyr,Besiktas,1,1,D,1,1,D,,,,,,,,,,,,,
2009-08-08,Diyarbakirspor,Ankaragucu,2,2,D,1,2,A,,,,,,,,,,,,,
2009-08-08,Sivasspor,Trabzonspor,1,2,A,0,1,A,,,,,,,,,,,,,
2009-08-09,Bursaspor,Kasimpasa,2,1,H,0,0,D,,,,,,,,,,,,,
2009-08-09,Denizlispor,Fenerbahce,0,2,A,0,1,A,,,,,,,,,,,,,
2009-08-09,Gaziantepspor,Galatasaray,2,3,A,1,2,A,,,,,,,,,,,,,
2009-08-09,Genclerbirligi,Kayserispor,0,0,D,0,0,D,,,,,,,,,,,,,
2009-08-09,Manisaspor,Eskisehirspor,0,0,D,0,0,D,,,,,,,,,,,,,
2009-08-15,Ankaragucu,Manisaspor,1,1,D,0,0,D,,,,,,,,,,,,,
2009-08-15,Galatasaray,Denizlispor,4,1,H,1,1,D,,,,,,,,,,,,,
2009-08-15,Trabzonspor,Diyarbakirspor,1,2,A,1,0,H,,,,,,,,,,,,,
2009-08-16,Eskisehirspor,Bursaspor,3,2,H,1,0,H,,,,,,,,,,,,,
2009-08-16,Fenerbahce,Sivasspor,3,0,H,0,0,D,,,,,,,,,,,,,
2009-08-16,Kasimpasa,Buyuksehyr,1,3,A,0,1,A,,,,,,,,,,,,,
2009-08-16,Kayserispor,Gaziantepspor,1,1,D,1,0,H,,,,,,,,,,,,,
2009-08-17,Besiktas,Antalyaspor,2,0,H,0,0,D,,,,,,,,,,,,,
2009-08-22,Bursaspor,Ankaragucu,1,0,H,1,0,H,,,,,,,,,,,,,
2009-08-22,Buyuksehyr,Eskisehirspor,0,0,D,0,0,D,,,,,,,,,,,,,
2009-08-22,Genclerbirligi,Besiktas,0,0,D,0,0,D,,,,,,,,,,,,,
2009-08-23,Antalyaspor,Kasimpasa,2,0,H,0,0,D,,,,,,,,,,,,,
2009-08-23,Galatasaray,Kayserispor,4,1,H,2,1,H,,,,,,,,,,,,,
2009-08-23,Manisaspor,Trabzonspor,1,0,H,1,0,H,,,,,,,,,,,,,
2009-08-24,Diyarbakirspor,Fenerbahce,1,3,A,1,1,D,,,,,,,,,,,,,
2009-08-28,Besiktas,Gaziantepspor,0,0,D,0,0,D,,,,,,,,,,,,,
2009-08-29,Ankaragucu,Buyuksehyr,2,2,D,1,2,A,,,,,,,,,,,,,
2009-08-29,Eskisehirspor,Antalyaspor,2,1,H,2,1,H,,,,,,,,,,,,,
2009-08-29,Kayserispor,Denizlispor,3,0,H,1,0,H,,,,,,,,,,,,,
2009-08-30,Fenerbahce,Manisaspor,2,1,H,0,0,D,,,,,,,,,,,,,
2009-08-30,Kasimpasa,Genclerbirligi,0,4,A,0,1,A,,,,,,,,,,,,,
2009-08-30,Sivasspor,Diyarbakirspor,0,2,A,0,1,A,,,,,,,,,,,,,
