Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2026-08-21,Marseille,Strasbourg,4,0,H,0,0,D,,14,5,8,2,6,12,3,4,1,2,0,1
2026-08-22,Lens,Auxerre,5,2,H,1,0,H,,12,10,9,4,6,21,4,7,1,1,0,1
2026-08-22,Le Mans,Brest,2,2,D,1,1,D,,8,26,5,7,14,12,1,10,1,1,0,0
2026-08-22,Nice,Lorient,0,0,D,0,0,D,,14,10,1,2,15,8,9,3,1,0,0,0
2026-08-22,Toulouse,Lyon,0,2,A,0,0,D,,17,11,2,3,15,15,6,5,1,2,0,0
2026-08-22,Troyes,Paris FC,0,0,D,0,0,D,,9,10,2,1,8,14,6,2,2,1,0,0
2026-08-23,Angers,Lille,0,2,A,0,2,A,,20,11,2,8,11,13,8,3,2,2,0,0
2026-08-23,Le Havre,Monaco,0,1,A,0,1,A,,15,15,4,7,13,12,7,4,3,2,0,0
2026-08-23,Rennes,Paris SG,2,2,D,2,0,H,,9,19,3,5,7,6,0,10,2,2,0,0
